V28 – 1000 m / complete-name >=60% matching
Base: visually confirmed V22.

Rule:
1. Angelatlas/LAV reference point.
2. Search named natural=water OSM Ways within max. 1000 m.
3. Compare COMPLETE normalized LAV and OSM names.
4. Do NOT remove See/Teich/Kiesgrube/etc.
5. Similarity must be >=60%.
6. Exactly ONE qualifying OSM Way is required.
7. Marker is taken from that exact OSM Way geometry in the local PBF.
8. Multiple >=60% candidates are deliberately NOT added.

Unique matches written: 186
Ambiguous cases not written: 14

große röthe neuferchau -> Große Röte | way 181565714 | 507 m | similarity 60.0% | marker 52.5755414,11.0780814
pfefferteich bei salzwedel -> Pfefferteich | way 88273618 | 203 m | similarity 63.2% | marker 52.8514603,11.1485079
friedrichsbad in zwintschöna -> Naturbad Friedrichsbad Zwintschöna | way 27073282 | 601 m | similarity 80.6% | marker 51.4566380,12.0502312
dorfteich in zwintschöna -> Naturbad Friedrichsbad Zwintschöna | way 27073282 | 601 m | similarity 62.1% | marker 51.4566380,12.0502312
kiesgrube rockendorf bei hohenweiden -> Kiesgrube Hohenweiden | way 8048471 | 166 m | similarity 73.7% | marker 51.4193207,11.9315453
kiesgrube in röpzig -> Kiesgrube Röpzig | way 37570023 | 348 m | similarity 91.4% | marker 51.4329856,11.9424608
herrenteich bei tollwitz -> Herrenteich | way 162767536 | 315 m | similarity 62.9% | marker 51.2774148,12.1025467
großkaynaer see -> Großkaynaer See | way 23094600 | 292 m | similarity 100.0% | marker 51.2720851,11.9530766
schachtteich milzau -> Schachtteich Milzau | way 62447108 | 388 m | similarity 100.0% | marker 51.3716541,11.9057310
brauhausteich schkopau -> Großer Brauhausteich | way 27291335 | 369 m | similarity 63.4% | marker 51.3928656,11.9867278
naturstrandbad bei obhausen -> Naturstrandbad Obhausen | way 98748994 | 169 m | similarity 92.0% | marker 51.3761053,11.6480089
rost‘s loch in lieskau -> Rost's Loch | way 178781658 | 603 m | similarity 62.5% | marker 51.5013198,11.8522973
tonloch bei teicha -> Tonloch Teicha | way 113270552 | 393 m | similarity 87.5% | marker 51.5565089,11.9498525
kiestagebau bei plötz -> Kiesgrube Plötz | way 176753805 | 174 m | similarity 77.8% | marker 51.6329536,11.9471038
kaolingrube gutenberg -> Tonloch Gutenberg | way 80241903 | 331 m | similarity 63.2% | marker 51.5473174,11.9635047
parkteiche ostrau -> Teich in Ostrau | way 226765792 | 629 m | similarity 75.0% | marker 51.6155870,12.0161690
steinbruch wallwitz -> Steinbruchsee | way 92783616 | 300 m | similarity 62.5% | marker 51.5878964,11.9181491
goethebruch petersberg -> Goethebruch | way 88305422 | 15 m | similarity 66.7% | marker 51.5949558,11.9555527
mühlteich krosigk -> Mühlteich | way 32935825 | 413 m | similarity 69.2% | marker 51.6132694,11.9378527
dorfteich nauendorf -> Dorfteich Nauendorf | way 122996556 | 296 m | similarity 100.0% | marker 51.6020595,11.8834343
grubenteich bei neidschütz -> Grubenteich / Schachtteich | way 192755753 | 601 m | similarity 64.0% | marker 51.1046962,11.8110887
weiße grube altenroda -> Weiße Grube | way 237026790 | 309 m | similarity 66.7% | marker 51.2389802,11.5444062
neuer teich in meineweh -> Neuer Teich | way 161568020 | 337 m | similarity 64.7% | marker 51.0721663,11.9934278
alter elsterarm profen -> Alter Elsterarm | way 58211448 | 511 m | similarity 81.1% | marker 51.1274000,12.2339834
hainbergsee -> Hainbergsee | way 205396214 | 325 m | similarity 100.0% | marker 51.0369347,12.2959388
naturbad rehmsdorf -> Naturbad Rehmsdorf | way 58715055 | 207 m | similarity 100.0% | marker 51.0588620,12.2139377
diepold -> Diepold | way 4444853 | 711 m | similarity 100.0% | marker 51.8359287,12.2652376
lorkteich (goßer lork) -> Großer Lork | way 25222389 | 353 m | similarity 62.1% | marker 51.8059285,12.2533648
stillinge nord -> Stillinge Nord | way 25691251 | 288 m | similarity 100.0% | marker 51.8532583,12.2499923
karpfenteich biethe im ot roßlau -> Karpfenteich/Biethe | way 640410380 | 345 m | similarity 76.0% | marker 51.8824022,12.2235236
industriehafen magdeburg -> Industriehafen I | way 5154269 | 709 m | similarity 75.0% | marker 52.1753266,11.6781755
barleber see i -> Barleber See I | way 5235760 | 256 m | similarity 100.0% | marker 52.2246844,11.6581946
alte elbe kreuzhorst -> Alte Elbe | way 26162852 | 239 m | similarity 62.1% | marker 52.0830178,11.6843535
zipkleber see -> Zipkelebener Gutsteich | way 27866100 | 253 m | similarity 68.6% | marker 52.1033752,11.7174811
baggerloch an der sülzewiese (hermeckers kiesloch) -> Baggerloch an der Sülzewiese "Hermickes Kiesloch" | way 32701478 | 75 m | similarity 96.8% | marker 52.1302915,11.7011119
großer barrosee (teil 1) -> Großer Barrosee | way 5942362 | 185 m | similarity 80.0% | marker 52.1898176,11.6426651
barrosee dreieck -> Dreieck | way 24278884 | 239 m | similarity 60.9% | marker 52.1902508,11.6375782
der placken (kuhlenhagen) -> Kuhlenhagen | way 39037788 | 932 m | similarity 64.7% | marker 52.0725094,11.6917204
barleber see ii -> Barleber See I | way 5235760 | 650 m | similarity 96.6% | marker 52.2246844,11.6581946
großer angersdorfer teich -> Angersdorfer Teiche | way 8039108 | 178 m | similarity 83.7% | marker 51.4673213,11.9082463
kleiner angersdorfer teich -> Angersdorfer Teiche | way 8039108 | 492 m | similarity 80.0% | marker 51.4673213,11.9082463
kirchteich in neustadt -> Kirchteich | way 28192730 | 229 m | similarity 62.5% | marker 51.4740692,11.9359962
friedhofsteich neustadt -> Friedhofsteich | way 8039106 | 548 m | similarity 75.7% | marker 51.4768157,11.8772921
hufeisensee in kanena -> Hufeisensee | way 164790598 | 204 m | similarity 68.8% | marker 51.4615269,12.0314239
ententeich in planena -> Ententeich | way 185230626 | 102 m | similarity 64.5% | marker 51.4207381,11.9605635
kleiner klietzer see -> Kleiner Klietzer See | way 102337347 | 110 m | similarity 100.0% | marker 52.6662622,12.0615534
