"id";"lavNumber";"name";"district";"status";"confidence";"method";"latitude";"longitude";"matchedAlias";"candidateName";"distanceKm";"source"
"1-160-01-bruders-teich-bei-gardelegen";"1-160-01";"Brüders Teich bei Gardelegen";"Altmarkkreis Salzwedel";"review";"0.462";"overpass-locality";"52.5217857";"11.4842104";"Brüders Teich";"Jävenitzer Teich";"6.21";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-02-wasserspeicher-luffingen";"1-160-02";"Wasserspeicher Lüffingen";"Altmarkkreis Salzwedel";"review";"0.771";"nominatim-name";"52.5779873";"11.4170786";"luffingen";"Lüffingen";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-03-kieskuhle-die-lange-wohrde";"1-160-03";"Kieskuhle (Die lange Wohrde)";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-05-lindenthaler-teich-bei-gardelegen";"1-160-05";"Lindenthaler Teich bei Gardelegen";"Altmarkkreis Salzwedel";"review";"0.462";"overpass-locality";"52.5217857";"11.4842104";"Lindenthaler Teich";"Jävenitzer Teich";"6.21";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-06-wilhelmskanal-von-strae";"1-160-06";"Wilhelmskanal von Straße";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-07-rotzen-s-loch-bei-breiteiche";"1-160-07";"Rötzen´s Loch bei Breiteiche";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-09-5-teiche-am-ipser-weg";"1-160-09";"5 Teiche am Ipser Weg";"Altmarkkreis Salzwedel";"review";"0.658";"nominatim-name";"52.5121191";"11.3984486";"5 ipser weg";"Ipser Weg";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-12-mahlbusen-heidberg-bei-estedt";"1-160-12";"Mahlbusen-Heidberg bei Estedt";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-13-forsterteich-bei-jerchel";"1-160-13";"Försterteich bei Jerchel";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-14-milde-von-gardelegen";"1-160-14";"Milde von Gardelegen-";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-16-untere-milde-von-wegebrucke";"1-160-16";"Untere Milde von Wegebrücke";"Altmarkkreis Salzwedel";"review";"0.456";"overpass-locality";"52.6966051";"11.4629179";"Untere Milde von Wegebrücke";"Milde";"2.94";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-17-kellerbuschteiche-lindstedt";"1-160-17";"Kellerbuschteiche Lindstedt";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-18-untere-milde-von-straenbrucke";"1-160-18";"Untere Milde von Straßenbrücke";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-19-teich-faule-breite-bei-letzlingen";"1-160-19";"Teich „Faule Breite“ bei Letzlingen";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-20-konigsgraben-vom-abschlag";"1-160-20";"Königsgraben vom Abschlag";"Altmarkkreis Salzwedel";"review";"0.54";"overpass-locality";"52.6414489";"11.4198591";"Königsgraben vom Abschlag";"Königsgraben";"9.73";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-21-kiesgrube-wernitz";"1-160-21";"Kiesgrube Wernitz";"Altmarkkreis Salzwedel";"review";"0.771";"nominatim-name";"52.4855462";"11.2320531";"wernitz";"Wernitz";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-22-secantsgraben-von-str-br-kalbe-m";"1-160-22";"Secantsgraben von Str.-Br. Kalbe/M. –";"Altmarkkreis Salzwedel";"review";"0.511";"overpass-locality";"52.6407072";"11.4643875";"Secantsgraben von Str.-Br. Kalbe";"Secantsgraben";"8.96";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-23-grube-minna-bei-kassieck";"1-160-23";"Grube Minna bei Kassieck";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-161-01-teich-am-anglerheim-burggraben";"1-161-01";"Teich am Anglerheim (Burggraben)";"Altmarkkreis Salzwedel";"review";"0.699";"nominatim-name";"52.6538607";"11.3946487";"Burggraben";"Burggraben";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-161-02-milde-von-kalbe-straenbrucke";"1-161-02";"Milde von Kalbe (Straßenbrücke)";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-161-03-untere-milde-von-winkelstedt";"1-161-03";"Untere Milde von Winkelstedt";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-01-dorfteich-miesterhorst";"1-260-01";"Dorfteich Miesterhorst";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-02-anglerteiche-apenburg";"1-260-02";"Anglerteiche Apenburg";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-03-wasserbecken-am-schlammgraben";"1-260-03";"Wasserbecken am Schlammgraben";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-04-prozebusch-in-dannefeld";"1-260-04";"Prozeßbusch in Dannefeld";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-05-sauergrund-bei-dannefeld";"1-260-05";"Sauergrund bei Dannefeld";"Altmarkkreis Salzwedel";"review";"0.872";"nominatim-name";"52.4939276";"11.1329799";"Sauergrund";"Sauergrund";"1.46";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-260-07-beregnungsteich-bei-lockstedt";"1-260-07";"Beregnungsteich bei Lockstedt";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
