"id";"lavNumber";"name";"district";"status";"confidence";"method";"latitude";"longitude";"matchedAlias";"candidateName";"distanceKm";"source"
"1-160-01-bruders-teich-bei-gardelegen";"1-160-01";"Brüders Teich bei Gardelegen";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-02-wasserspeicher-luffingen";"1-160-02";"Wasserspeicher Lüffingen";"Altmarkkreis Salzwedel";"review";"0.771";"nominatim-name";"52.5779873";"11.4170786";"luffingen";"Lüffingen";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-03-kieskuhle-die-lange-wohrde";"1-160-03";"Kieskuhle (Die lange Wohrde)";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-04-stadtgraben-in-gardelegen";"1-160-04";"Stadtgraben in Gardelegen";"Altmarkkreis Salzwedel";"review";"0.819";"nominatim-name";"52.5252862";"11.3885876";"Stadtgraben";"Stadtgraben";"0.34";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-05-lindenthaler-teich-bei-gardelegen";"1-160-05";"Lindenthaler Teich bei Gardelegen";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-06-wilhelmskanal-von-strae";"1-160-06";"Wilhelmskanal von Straße";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-07-rotzen-s-loch-bei-breiteiche";"1-160-07";"Rötzen´s Loch bei Breiteiche";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-09-5-teiche-am-ipser-weg";"1-160-09";"5 Teiche am Ipser Weg";"Altmarkkreis Salzwedel";"review";"0.658";"nominatim-name";"52.5121191";"11.3984486";"5 ipser weg";"Ipser Weg";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"1-160-12-mahlbusen-heidberg-bei-estedt";"1-160-12";"Mahlbusen-Heidberg bei Estedt";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"6-401-02-bruch-2-bei-breitenhagen";"6-401-02";"Bruch 2 bei Breitenhagen";"Salzlandkreis";"review";"0.978";"overpass-locality";"51.9227195";"11.9340061";"Bruch 2";"Bruch 1";"0.75";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"6-401-03-bruch-3-bei-breitenhagen";"6-401-03";"Bruch 3 bei Breitenhagen";"Salzlandkreis";"review";"0.978";"overpass-locality";"51.9227195";"11.9340061";"Bruch 3";"Bruch 1";"0.75";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"6-401-05-drahningensee-bei-breitenhagen";"6-401-05";"Drähningensee bei Breitenhagen";"Salzlandkreis";"review";"0.497";"overpass-locality";"51.9195745";"11.9527659";"Drähningensee bei Breitenhagen";"Graben von Breitenhagen";"0.77";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"6-401-07-kleiner-dorfsee-gro-rosenburg";"6-401-07";"Kleiner Dorfsee Groß Rosenburg";"Salzlandkreis";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"6-401-08-landgraben-von-einmundung-des";"6-401-08";"Landgraben von Einmündung des";"Salzlandkreis";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"6-401-09-taube-von-700m-oberhalb-der";"6-401-09";"Taube von 700m oberhalb der";"Salzlandkreis";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"6-402-01-dolphus-bei-barby";"6-402-01";"Dolphus bei Barby";"Salzlandkreis";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"6-402-02-barbyer-landgraben-von";"6-402-02";"Barbyer Landgraben von";"Salzlandkreis";"review";"0.5";"overpass-locality";"52.0479521";"11.7413616";"Barbyer Landgraben von";"Elbenauer Landgraben";"3.02";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"6-402-03-hafen-barby";"6-402-03";"Hafen Barby";"Salzlandkreis";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"6-402-04-kiesgrube-barby-sud";"6-402-04";"Kiesgrube Barby-Süd";"Salzlandkreis";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"6-402-06-restloch-konigsaue";"6-402-06";"Restloch Königsaue";"Salzlandkreis";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"6-402-07-saale-von-werkleitz-bis-elbmundung";"6-402-07";"Saale von Werkleitz bis Elbmündung";"Salzlandkreis";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"6-410-01-schachte-bei-tarthun";"6-410-01";"Schächte bei Tarthun";"Salzlandkreis";"unmatched";"";"";"";"";"";"";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
"6-410-02-warmsdorfer-teich";"6-410-02";"Warmsdorfer Teich";"Salzlandkreis";"review";"0.606";"nominatim-name";"51.781474";"11.5874465";"warmsdorfer";"Warmsdorfer Weg";"";"OpenStreetMap contributors (ODbL), Nominatim and Overpass API"
