"id";"lavNumber";"name";"type";"district";"status";"tier";"latitude";"longitude";"confidence";"nameScore";"distanceKm";"candidateName";"locality";"reason"
"1-160-01-bruders-teich-bei-gardelegen";"1-160-01";"Brüders Teich bei Gardelegen";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.5298075";"11.3967719";"0.908";"0";"0.42";"";"Gardelegen";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-160-02-wasserspeicher-luffingen";"1-160-02";"Wasserspeicher Lüffingen";"See";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.5690667";"11.4038551";"0.838";"0";"1.34";"";"Lüffingen";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-160-03-kieskuhle-die-lange-wohrde";"1-160-03";"Kieskuhle (Die lange Wohrde)";"Kiesgrube";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.5298075";"11.3967719";"0.908";"0";"0.42";"";"Gardelegen";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-160-04-stadtgraben-in-gardelegen";"1-160-04";"Stadtgraben in Gardelegen";"Fließgewässer";"Altmarkkreis Salzwedel";"review";"flow";"52.5186616";"11.3838142";"0.856";"0";"1.1";"";"Gardelegen";"Fließgewässer benötigt Abschnittsprüfung statt automatischem Mittelpunkt."
"1-160-05-lindenthaler-teich-bei-gardelegen";"1-160-05";"Lindenthaler Teich bei Gardelegen";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.5298075";"11.3967719";"0.908";"0";"0.42";"";"Gardelegen";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-160-06-wilhelmskanal-von-strae";"1-160-06";"Wilhelmskanal von Straße";"Fließgewässer";"Altmarkkreis Salzwedel";"unmatched";"none";"";"";"";"";"";"";"von Straße";"Kein v3-Wasserkandidat vorhanden."
"1-160-07-rotzen-s-loch-bei-breiteiche";"1-160-07";"Rötzen´s Loch bei Breiteiche";"Teich";"Altmarkkreis Salzwedel";"unmatched";"none";"";"";"";"";"";"";"";"Kein v3-Wasserkandidat vorhanden."
"1-160-08-kiessee-gade-bei-solpke";"1-160-08";"Kiessee Gäde bei Solpke";"Kiesgrube";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.5072174";"11.3007939";"0.867";"0";"0.95";"";"Solpke";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-160-09-5-teiche-am-ipser-weg";"1-160-09";"5 Teiche am Ipser Weg";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.5105546";"11.4031394";"0.912";"0";"0.36";"";"Ipser Weg";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-160-12-mahlbusen-heidberg-bei-estedt";"1-160-12";"Mahlbusen-Heidberg bei Estedt";"See";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.5774526";"11.3662233";"0.913";"0";"0.35";"";"Estedt";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-160-13-forsterteich-bei-jerchel";"1-160-13";"Försterteich bei Jerchel";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.4660874";"11.3160803";"0.905";"0";"0.45";"";"Jerchel";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-160-14-milde-von-gardelegen";"1-160-14";"Milde von Gardelegen-";"Fließgewässer";"Altmarkkreis Salzwedel";"review";"flow";"52.5194852";"11.5303351";"0.896";"0";"0.57";"";"von Gardelegen-";"Fließgewässer benötigt Abschnittsprüfung statt automatischem Mittelpunkt."
"1-160-15-blechbudenteich-bei";"1-160-15";"Blechbudenteich bei";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-medium";"52.69358";"11.4673365";"0.846";"0";"1.22";"";"bei";"Nahes unbenanntes stehendes Wasser; räumlich plausibel, aber nicht eindeutig."
"1-160-16-untere-milde-von-wegebrucke";"1-160-16";"Untere Milde von Wegebrücke";"Fließgewässer";"Altmarkkreis Salzwedel";"review";"flow";"52.7047934";"11.5078816";"0.747";"0";"2.52";"";"die Milde";"Fließgewässer benötigt Abschnittsprüfung statt automatischem Mittelpunkt."
"1-160-17-kellerbuschteiche-lindstedt";"1-160-17";"Kellerbuschteiche Lindstedt";"Teich";"Altmarkkreis Salzwedel";"review";"unnamed-high";"52.5905802";"11.5322808";"0.925";"0";"0.2";"";"Lindstedt";"Sehr nahes unbenanntes stehendes Wasser; vor Freigabe konkurrierende Teiche/Fläche prüfen."
"1-160-18-untere-milde-von-straenbrucke";"1-160-18";"Untere Milde von Straßenbrücke";"Fließgewässer";"Altmarkkreis Salzwedel";"unmatched";"none";"";"";"";"";"";"";"";"Kein v3-Wasserkandidat vorhanden."
