"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"officialDistanceM";"officialCandidateCount";"distanceGapM";"featureUseCount";"reason"
"1-160-01-bruders-teich-bei-gardelegen";"1-160-01";"Brüders Teich bei Gardelegen";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00003zoQ";"699.5";"2";"7.1";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"1-160-03-kieskuhle-die-lange-wohrde";"1-160-03";"Kieskuhle (Die lange Wohrde)";"Kiesgrube";"review";"v72-conflict";"StandingWater_DESTGEOT00003zoQ";"699.5";"2";"7.1";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"1-160-04-stadtgraben-in-gardelegen";"1-160-04";"Stadtgraben in Gardelegen";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT00003zQr_lin";"27.2";"9";"34.5";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"1-160-05-lindenthaler-teich-bei-gardelegen";"1-160-05";"Lindenthaler Teich bei Gardelegen";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00003zoQ";"699.5";"2";"7.1";"3";"Amtliches Feature wird von 3 LAV-Einträgen beansprucht; bleibt Review."
"1-160-12-mahlbusen-heidberg-bei-estedt";"1-160-12";"Mahlbusen-Heidberg bei Estedt";"See";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"1-160-15-blechbudenteich-bei";"1-160-15";"Blechbudenteich bei";"Teich";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"1-160-17-kellerbuschteiche-lindstedt";"1-160-17";"Kellerbuschteiche Lindstedt";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOT00003KQy";"425";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"1-160-19-teich-faule-breite-bei-letzlingen";"1-160-19";"Teich „Faule Breite“ bei Letzlingen";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOTR100bqpd";"86";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"1-160-21-kiesgrube-wernitz";"1-160-21";"Kiesgrube Wernitz";"Kiesgrube";"review";"v72-standing-review";"StandingWater_DESTGEOT00003miZ";"473";"2";"75.5";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"1-160-23-grube-minna-bei-kassieck";"1-160-23";"Grube Minna bei Kassieck";"Kiesgrube";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"1-161-03-untere-milde-von-winkelstedt";"1-161-03";"Untere Milde von Winkelstedt";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT00003BZP_lin";"229.9";"6";"18.1";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"1-260-01-dorfteich-miesterhorst";"1-260-01";"Dorfteich Miesterhorst";"Teich";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"1-260-02-anglerteiche-apenburg";"1-260-02";"Anglerteiche Apenburg";"Teich";"review";"v72-standing-review";"StandingWater_DESTGEOT00003smZ";"137";"4";"16.6";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"1-260-08-langer-teich-immekath";"1-260-08";"Langer Teich Immekath";"Teich";"review";"v72-conflict";"StandingWater_DESTGEOT00003g7U";"664";"1";"9999";"2";"Amtliches Feature wird von 2 LAV-Einträgen beansprucht; bleibt Review."
"1-260-09-neues-gewasser-in-klotze";"1-260-09";"Neues Gewässer in Klötze";"See";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"1-260-11-jeetze-von-dorfstrae-im-amt";"1-260-11";"Jeetze von Dorfstraße im Amt";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT00003u5d_lin";"0.7";"14";"6.4";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"1-260-12-alte-badeanstalt-bei-jahrstedt";"1-260-12";"Alte Badeanstalt bei Jahrstedt";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00003db3";"930.3";"2";"77.8";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"1-260-13-dorfteich-steimke";"1-260-13";"Dorfteich Steimke";"Teich";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"1-260-14-ohre-in-steimke";"1-260-14";"Ohre in Steimke";"Fließgewässer";"review";"v72-flow";"Watercourse_DESTGEOT000035tT_lin";"743.5";"7";"94.2";"1";"Fließgewässer werden in v7.2 nicht automatisch hochgestuft."
"1-260-16-ehemalige-klarteiche-in-kusey";"1-260-16";"ehemalige Klärteiche in Kusey";"Teich";"review";"v72-no-feature";"";"";"0";"";"0";"Kein amtliches Feature bzw. keine belastbare Distanz; bleibt Review."
"1-260-17-radestucken-neuekrug";"1-260-17";"Radestücken Neuekrug";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT0000foDn";"393";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
"1-260-19-groe-rothe-neuferchau";"1-260-19";"Große Röthe Neuferchau";"See";"review";"v72-standing-review";"StandingWater_DESTGEOT00003db0";"513.3";"1";"9999";"1";"Konfliktfrei, aber Distanz/Kandidatenzahl/Abstand reichen noch nicht für automatische Freigabe."
