"id";"lavNumber";"name";"type";"result";"tier";"distanceM";"officialName";"candidateCount";"gapM";"nameScore";"reason"
"1-160-12-mahlbusen-heidberg-bei-estedt";"1-160-12";"Mahlbusen-Heidberg bei Estedt";"See";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"1-160-15-blechbudenteich-bei";"1-160-15";"Blechbudenteich bei";"Teich";"review";"v9-standing-review";"998.6";"";"1";"9999.0";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (998.6 m; Gap 9999.0 m)."
"1-160-23-grube-minna-bei-kassieck";"1-160-23";"Grube Minna bei Kassieck";"Kiesgrube";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"1-260-01-dorfteich-miesterhorst";"1-260-01";"Dorfteich Miesterhorst";"Teich";"review";"v9-standing-review";"1402.5";"";"1";"9999.0";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (1402.5 m; Gap 9999.0 m)."
"1-260-09-neues-gewasser-in-klotze";"1-260-09";"Neues Gewässer in Klötze";"See";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"1-260-13-dorfteich-steimke";"1-260-13";"Dorfteich Steimke";"Teich";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"1-260-16-ehemalige-klarteiche-in-kusey";"1-260-16";"ehemalige Klärteiche in Kusey";"Teich";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"1-380-01-plattensee-bei-winterfeld";"1-380-01";"Plattensee bei Winterfeld";"See";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"2-420-05-kiesgrube-schernikau";"2-420-05";"Kiesgrube Schernikau";"Kiesgrube";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"2-420-09-uchte-von-strae-tornau";"2-420-09";"Uchte von Straße Tornau-";"See";"review";"v9-standing-review";"1151.4";"";"2";"70.8";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (1151.4 m; Gap 70.8 m)."
"2-421-09-winkelwiesenteich-uchtdorf";"2-421-09";"Winkelwiesenteich Uchtdorf";"Teich";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"3-200-45-beber-von-einmundung-der-rie";"3-200-45";"Beber von Einmündung der Rie";"See";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches StandingWater-Feature."
"3-200-48-papenteich-bei-emden";"3-200-48";"Papenteich bei Emden";"Teich";"review";"v9-standing-review";"1025.6";"";"2";"23.7";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (1025.6 m; Gap 23.7 m)."
"4-171-04-kiesgrube-an-der-mts-in-parey";"4-171-04";"Kiesgrube an der MTS in Parey";"Kiesgrube";"review";"v9-standing-review";"1065.5";"Kühnes Loch";"4";"27.5";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (1065.5 m; Gap 27.5 m)."
"4-171-18-waldmuhlenlanke-bei-parey";"4-171-18";"Waldmühlenlanke bei Parey";"See";"review";"v9-standing-review";"1065.5";"Kühnes Loch";"4";"27.5";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (1065.5 m; Gap 27.5 m)."
"4-171-19-pappelloch-bei-parey";"4-171-19";"Pappelloch bei Parey";"See";"review";"v9-standing-review";"1065.5";"Kühnes Loch";"4";"27.5";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (1065.5 m; Gap 27.5 m)."
"4-171-20-wolfsloch-1-und-2-bei-parey";"4-171-20";"Wolfsloch 1 und 2 bei Parey";"See";"review";"v9-standing-review";"1065.5";"Kühnes Loch";"4";"27.5";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (1065.5 m; Gap 27.5 m)."
"4-171-22-hemslake-bei-parey";"4-171-22";"Hemslake bei Parey";"See";"review";"v9-standing-review";"1065.5";"Kühnes Loch";"4";"27.5";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (1065.5 m; Gap 27.5 m)."
"4-171-27-herrensee-parey";"4-171-27";"Herrensee Parey";"See";"review";"v9-standing-review";"1065.5";"Kühnes Loch";"4";"27.5";"0.000";"Amtlicher Kandidat gefunden, aber nicht eindeutig genug (1065.5 m; Gap 27.5 m)."
"4-172-01-elbe-havel-kanal-von-km-364-5";"4-172-01";"Elbe-Havel-Kanal von km 364,5";"Fließgewässer";"review";"v9-review";"";"";"0";"";"0.000";"Auch in ±1200 m kein amtliches Watercourse-Feature."
