"id";"lavNumber";"name";"status";"lat";"lon";"officialDistanceKm";"officialName";"nameScore";"distanceGapKm";"reason"
"1-160-01-bruders-teich-bei-gardelegen";"1-160-01";"Brüders Teich bei Gardelegen";"review";"52.5298075";"11.3967719";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-02-wasserspeicher-luffingen";"1-160-02";"Wasserspeicher Lüffingen";"review";"52.5690667";"11.4038551";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-03-kieskuhle-die-lange-wohrde";"1-160-03";"Kieskuhle (Die lange Wohrde)";"review";"52.5298075";"11.3967719";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-04-stadtgraben-in-gardelegen";"1-160-04";"Stadtgraben in Gardelegen";"review";"52.5186616";"11.3838142";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-05-lindenthaler-teich-bei-gardelegen";"1-160-05";"Lindenthaler Teich bei Gardelegen";"review";"52.5298075";"11.3967719";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-08-kiessee-gade-bei-solpke";"1-160-08";"Kiessee Gäde bei Solpke";"review";"52.5072174";"11.3007939";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-09-5-teiche-am-ipser-weg";"1-160-09";"5 Teiche am Ipser Weg";"review";"52.5105546";"11.4031394";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-12-mahlbusen-heidberg-bei-estedt";"1-160-12";"Mahlbusen-Heidberg bei Estedt";"review";"52.5774526";"11.3662233";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-13-forsterteich-bei-jerchel";"1-160-13";"Försterteich bei Jerchel";"review";"52.4660874";"11.3160803";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-14-milde-von-gardelegen";"1-160-14";"Milde von Gardelegen-";"review";"52.5194852";"11.5303351";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-15-blechbudenteich-bei";"1-160-15";"Blechbudenteich bei";"review";"52.69358";"11.4673365";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-16-untere-milde-von-wegebrucke";"1-160-16";"Untere Milde von Wegebrücke";"review";"52.7047934";"11.5078816";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-17-kellerbuschteiche-lindstedt";"1-160-17";"Kellerbuschteiche Lindstedt";"review";"52.5905802";"11.5322808";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-19-teich-faule-breite-bei-letzlingen";"1-160-19";"Teich „Faule Breite“ bei Letzlingen";"review";"52.4460723";"11.4729848";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-20-konigsgraben-vom-abschlag";"1-160-20";"Königsgraben vom Abschlag";"review";"52.7047934";"11.5078816";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-21-kiesgrube-wernitz";"1-160-21";"Kiesgrube Wernitz";"review";"52.4877963";"11.2364454";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-22-secantsgraben-von-str-br-kalbe-m";"1-160-22";"Secantsgraben von Str.-Br. Kalbe/M. –";"review";"52.7047934";"11.5078816";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-160-23-grube-minna-bei-kassieck";"1-160-23";"Grube Minna bei Kassieck";"review";"52.5846956";"11.4873324";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-161-01-teich-am-anglerheim-burggraben";"1-161-01";"Teich am Anglerheim (Burggraben)";"review";"51.773576";"10.7971424";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-161-03-untere-milde-von-winkelstedt";"1-161-03";"Untere Milde von Winkelstedt";"review";"52.677317";"11.3072696";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-01-dorfteich-miesterhorst";"1-260-01";"Dorfteich Miesterhorst";"review";"52.460807";"11.1415221";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-02-anglerteiche-apenburg";"1-260-02";"Anglerteiche Apenburg";"review";"52.7100588";"11.2006718";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-03-wasserbecken-am-schlammgraben";"1-260-03";"Wasserbecken am Schlammgraben";"review";"52.5761761";"11.0779017";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-04-prozebusch-in-dannefeld";"1-260-04";"Prozeßbusch in Dannefeld";"review";"52.5076908";"11.1432105";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-05-sauergrund-bei-dannefeld";"1-260-05";"Sauergrund bei Dannefeld";"review";"52.5076908";"11.1432105";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-07-beregnungsteich-bei-lockstedt";"1-260-07";"Beregnungsteich bei Lockstedt";"review";"52.6657464";"11.1942592";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-08-langer-teich-immekath";"1-260-08";"Langer Teich Immekath";"review";"52.6277652";"11.0816699";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
"1-260-09-neues-gewasser-in-klotze";"1-260-09";"Neues Gewässer in Klötze";"review";"52.622978";"11.1655101";"";"";"";"";"OSM-Kandidat vorhanden, aber kein amtliches HY-P-Objekt im Prüfbereich."
