"officialFeatureId";"id";"lavNumber";"name";"type";"result";"tier";"distanceM";"nameScore";"candidateCount";"gapM";"featureUseCount";"groupMargin";"reason"
"Watercourse_DESTGEOT00005Eub_pol";"6-400-22-elbe-von-km-305-km-320-beidseitig";"6-400-22";"Elbe von km 305 - km 320 beidseitig";"Fließgewässer";"review";"v121-conflict-review";"17.1";"0.000";"9";"120.8";"2";"0.000";"Amtliches Feature wird von 2 v12-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"Watercourse_DESTGEOT00005Eub_pol";"8-183-02-elbe-von-km-244-5-km-248-3-linksseitig-a-bl-h-pl-z-w-q-52-00";"8-183-02";"Elbe von km 244, 5 - km 248, 3 linksseitig A, Bl, H, Pl, Z, W, Q 52,00";"Fließgewässer";"review";"v121-conflict-review";"17.1";"0.000";"9";"120.8";"2";"0.000";"Amtliches Feature wird von 2 v12-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOT00002eOA";"6-410-22-regenruckhaltebecken-am";"6-410-22";"Regenrückhaltebecken am";"See";"review";"v121-review";"872.7";"0.000";"1";"9999.0";"1";"1.000";"v12.1: Distanz/Name/Gap reichen noch nicht für automatische Freigabe."
"StandingWater_DESTGEOT00001XvZ";"6-411-02-loderburger-see";"6-411-02";"Löderburger See";"See";"review";"v121-review";"160.0";"1.000";"4";"726.8";"1";"1.000";"v12.1: Distanz/Name/Gap reichen noch nicht für automatische Freigabe."
"StandingWater_DESTGEOT000014Gf";"7-121-01-vergimeinnicht-postgrube";"7-121-01";"Vergißmeinnicht (Postgrube)";"Kiesgrube";"review";"v121-review";"40.1";"0.000";"1";"9999.0";"1";"1.000";"v12.1: Distanz/Name/Gap reichen noch nicht für automatische Freigabe."
"StandingWater_DESTGEOTR100brt8";"7-273-20-teich-in-weddershausen";"7-273-20";"Teich in Weddershausen";"Teich";"review";"v121-conflict-review";"9.8";"0.000";"2";"785.4";"3";"0.000";"Amtliches Feature wird von 3 v12-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOTR100brt8";"9-390-25-teich-in-beyernaumburg-othal";"9-390-25";"Teich in Beyernaumburg/Othal";"Teich";"review";"v121-conflict-review";"9.8";"0.000";"2";"785.4";"3";"0.000";"Amtliches Feature wird von 3 v12-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOTR100brt8";"11-480-19-teich-in-altgroitzschen";"11-480-19";"Teich in Altgroitzschen";"Teich";"review";"v121-conflict-review";"9.8";"0.000";"2";"785.4";"3";"0.000";"Amtliches Feature wird von 3 v12-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOTR100fwjB";"7-491-01-godnitzer-see";"7-491-01";"Gödnitzer See";"See";"review";"v121-review";"44.0";"1.000";"3";"835.4";"1";"1.000";"v12.1: Distanz/Name/Gap reichen noch nicht für automatische Freigabe."
"StandingWater_DESTGEOTR100gjvh";"8-184-03-bergwitzsee";"8-184-03";"Bergwitzsee";"See";"review";"v121-review";"70.2";"1.000";"2";"526.5";"1";"1.000";"v12.1: Distanz/Name/Gap reichen noch nicht für automatische Freigabe."
