"id";"lavNumber";"name";"type";"result";"query";"queryKind";"distanceM";"officialName";"candidateCount";"nameScore";"gapM";"reason"
"2-420-08-elbe-km-392-402-linksseitig";"2-420-08";"Elbe km 392 - 402 linksseitig";"Fließgewässer";"review";"Elbe";"technical-trim";"16.0";"";"16";"0.000";"115.9";"v13-final fand über 'Elbe' einen amtlichen Kandidaten; bleibt Review."
"2-421-05-bertinger-see";"2-421-05";"Bertinger See";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"2-421-11-elbe-km-372-4-km-378-linksseitig";"2-421-11";"Elbe km 372, 4 – km 378 linksseitig";"Fließgewässer";"review";"Elbe";"technical-trim";"16.0";"";"16";"0.000";"115.9";"v13-final fand über 'Elbe' einen amtlichen Kandidaten; bleibt Review."
"2-422-12-elbe-km-386-392-beidseitig-km-391-392";"2-422-12";"Elbe km 386-392 beidseitig, km 391-392";"Fließgewässer";"review";"Elbe";"technical-trim";"16.0";"";"16";"0.000";"115.9";"v13-final fand über 'Elbe' einen amtlichen Kandidaten; bleibt Review."
"2-424-03-griebener-see";"2-424-03";"Griebener See";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"3-200-12-ehemalige-schweineweide-bei";"3-200-12";"Ehemalige Schweineweide bei";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"3-200-50-speicher-an-der-krummbeck";"3-200-50";"Speicher an der Krummbeck";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-130-33-gr-gehrenscher-see";"4-130-33";"Gr. Gehrenscher See";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-130-36-mittellandkanal-km-322-82-km-324-46-a-bl-k-pl-z-5-31-nordufer";"4-130-36";"Mittellandkanal km 322,82 - km 324,46 A, Bl, K, Pl, Z 5,31 Nordufer";"Fließgewässer";"review";"Mittellandkanal";"technical-trim";"13.3";"";"23";"0.000";"70.4";"v13-final fand über 'Mittellandkanal' einen amtlichen Kandidaten; bleibt Review."
"4-170-08-altenplatower-altkanal";"4-170-08";"Altenplatower-Altkanal";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-170-11-tucheim-parchener-bach-vom-ringels";"4-170-11";"Tucheim-Parchener-Bach vom Ringels-";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-170-12-torschiffahrtskanal-vom-wehr-mutzel-bis-a-b-bl-h-pl-qu-3-00-zur-mundung-in-den-fiener-haupvorfluter";"4-170-12";"Torschiffahrtskanal vom Wehr Mützel bis A, B, Bl, H, Pl, Qu 3,00 zur Mündung in den Fiener Haupvorfluter";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-171-05-alte-elbe-mit-tunnel-und";"4-171-05";"Alte Elbe mit Tunnel und";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
