"id";"lavNumber";"name";"district";"status";"latitude";"longitude";"confidence";"source";"method";"officialName";"note"
"1-160-01-bruders-teich-bei-gardelegen";"1-160-01";"Brüders Teich bei Gardelegen";"Altmarkkreis Salzwedel";"review";"52.5217857";"11.4842104";"0.462";"atkis-review";"overpass-locality";"Jävenitzer Teich";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-160-02-wasserspeicher-luffingen";"1-160-02";"Wasserspeicher Lüffingen";"Altmarkkreis Salzwedel";"review";"52.5779873";"11.4170786";"0.771";"atkis-review";"nominatim-name";"Lüffingen";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-160-03-kieskuhle-die-lange-wohrde";"1-160-03";"Kieskuhle (Die lange Wohrde)";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-160-05-lindenthaler-teich-bei-gardelegen";"1-160-05";"Lindenthaler Teich bei Gardelegen";"Altmarkkreis Salzwedel";"review";"52.5217857";"11.4842104";"0.462";"atkis-review";"overpass-locality";"Jävenitzer Teich";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-160-06-wilhelmskanal-von-strae";"1-160-06";"Wilhelmskanal von Straße";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-160-07-rotzen-s-loch-bei-breiteiche";"1-160-07";"Rötzen´s Loch bei Breiteiche";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-160-09-5-teiche-am-ipser-weg";"1-160-09";"5 Teiche am Ipser Weg";"Altmarkkreis Salzwedel";"review";"52.5121191";"11.3984486";"0.658";"atkis-review";"nominatim-name";"Ipser Weg";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-160-12-mahlbusen-heidberg-bei-estedt";"1-160-12";"Mahlbusen-Heidberg bei Estedt";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-160-13-forsterteich-bei-jerchel";"1-160-13";"Försterteich bei Jerchel";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-160-14-milde-von-gardelegen";"1-160-14";"Milde von Gardelegen-";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-160-16-untere-milde-von-wegebrucke";"1-160-16";"Untere Milde von Wegebrücke";"Altmarkkreis Salzwedel";"review";"52.6966051";"11.4629179";"0.456";"atkis-review";"overpass-locality";"Milde";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-160-17-kellerbuschteiche-lindstedt";"1-160-17";"Kellerbuschteiche Lindstedt";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-160-18-untere-milde-von-straenbrucke";"1-160-18";"Untere Milde von Straßenbrücke";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-160-19-teich-faule-breite-bei-letzlingen";"1-160-19";"Teich „Faule Breite“ bei Letzlingen";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-160-20-konigsgraben-vom-abschlag";"1-160-20";"Königsgraben vom Abschlag";"Altmarkkreis Salzwedel";"review";"52.6414489";"11.4198591";"0.54";"atkis-review";"overpass-locality";"Königsgraben";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-160-21-kiesgrube-wernitz";"1-160-21";"Kiesgrube Wernitz";"Altmarkkreis Salzwedel";"review";"52.4855462";"11.2320531";"0.771";"atkis-review";"nominatim-name";"Wernitz";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-160-22-secantsgraben-von-str-br-kalbe-m";"1-160-22";"Secantsgraben von Str.-Br. Kalbe/M. –";"Altmarkkreis Salzwedel";"review";"52.6407072";"11.4643875";"0.511";"atkis-review";"overpass-locality";"Secantsgraben";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-160-23-grube-minna-bei-kassieck";"1-160-23";"Grube Minna bei Kassieck";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-161-01-teich-am-anglerheim-burggraben";"1-161-01";"Teich am Anglerheim (Burggraben)";"Altmarkkreis Salzwedel";"review";"52.6538607";"11.3946487";"0.699";"atkis-review";"nominatim-name";"Burggraben";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-161-02-milde-von-kalbe-straenbrucke";"1-161-02";"Milde von Kalbe (Straßenbrücke)";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-161-03-untere-milde-von-winkelstedt";"1-161-03";"Untere Milde von Winkelstedt";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-01-dorfteich-miesterhorst";"1-260-01";"Dorfteich Miesterhorst";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-02-anglerteiche-apenburg";"1-260-02";"Anglerteiche Apenburg";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-03-wasserbecken-am-schlammgraben";"1-260-03";"Wasserbecken am Schlammgraben";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-04-prozebusch-in-dannefeld";"1-260-04";"Prozeßbusch in Dannefeld";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-05-sauergrund-bei-dannefeld";"1-260-05";"Sauergrund bei Dannefeld";"Altmarkkreis Salzwedel";"review";"52.4939276";"11.1329799";"0.872";"atkis-review";"nominatim-name";"Sauergrund";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-260-07-beregnungsteich-bei-lockstedt";"1-260-07";"Beregnungsteich bei Lockstedt";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-08-langer-teich-immekath";"1-260-08";"Langer Teich Immekath";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-09-neues-gewasser-in-klotze";"1-260-09";"Neues Gewässer in Klötze";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-10-teich-am-ehemaligen";"1-260-10";"Teich am ehemaligen";"Altmarkkreis Salzwedel";"review";"52.6090579";"11.1375925";"0.537";"atkis-review";"overpass-locality";"Angelteich";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-260-11-jeetze-von-dorfstrae-im-amt";"1-260-11";"Jeetze von Dorfstraße im Amt";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-12-alte-badeanstalt-bei-jahrstedt";"1-260-12";"Alte Badeanstalt bei Jahrstedt";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-13-dorfteich-steimke";"1-260-13";"Dorfteich Steimke";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-14-ohre-in-steimke";"1-260-14";"Ohre in Steimke";"Altmarkkreis Salzwedel";"review";"52.6021446";"10.9490976";"0.961";"atkis-review";"overpass-locality";"Ohre";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-260-15-ohre-in-jahrstedt";"1-260-15";"Ohre in Jahrstedt";"Altmarkkreis Salzwedel";"review";"52.6021446";"10.9490976";"0.901";"atkis-review";"overpass-locality";"Ohre";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-260-16-ehemalige-klarteiche-in-kusey";"1-260-16";"ehemalige Klärteiche in Kusey";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-17-radestucken-neuekrug";"1-260-17";"Radestücken Neuekrug";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-18-dorfteich-dannefeld";"1-260-18";"Dorfteich Dannefeld";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-19-groe-rothe-neuferchau";"1-260-19";"Große Röthe Neuferchau";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-20-untere-milde-cheinitz";"1-260-20";"Untere Milde Cheinitz";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-21-brookbuschteich-immekath";"1-260-21";"Brookbuschteich Immekath";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-260-22-moorgraben-cheinitz-bruchau";"1-260-22";"Moorgraben Cheinitz/Brüchau";"Altmarkkreis Salzwedel";"review";"52.6844516";"11.2530654";"0.771";"atkis-review";"nominatim-name";"Brüchau";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-380-01-plattensee-bei-winterfeld";"1-380-01";"Plattensee bei Winterfeld";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-380-03-1-tonstich-in-den-beekwiesen";"1-380-03";"1. Tonstich in den Beekwiesen";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-380-04-brietzer-teiche";"1-380-04";"Brietzer Teiche";"Altmarkkreis Salzwedel";"review";"52.8560875";"11.1259824";"0.564";"atkis-review";"nominatim-name";"Brietzer Weg";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-380-05-teich-in-langenapel";"1-380-05";"Teich in Langenapel";"Altmarkkreis Salzwedel";"review";"52.7441525";"10.8859639";"0.443";"atkis-review";"overpass-locality";"Museumsteich";"Kandidat vorhanden, aber noch nicht sicher genug für automatische Kartierung."
"1-380-06-blaukuhlen-in-fleetmark";"1-380-06";"Blaukuhlen in Fleetmark";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-380-07-wolfsteich-diesdorf";"1-380-07";"Wolfsteich Diesdorf";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-380-08-salzwedeler-dumme-von-bodden";"1-380-08";"Salzwedeler Dumme von Bödden-";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-380-09-tonstich-seibtscher-teich";"1-380-09";"Tonstich (Seibtscher Teich)";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-380-10-2-tonstich-in-beekwiesen-bei-salzwedel";"1-380-10";"2. Tonstich in Beekwiesen bei Salzwedel";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-380-11-regenruckhaltebecken-ritzer-brucke";"1-380-11";"Regenrückhaltebecken Ritzer Brücke";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-380-12-purnitz-bei-dambeck";"1-380-12";"Purnitz bei Dambeck";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-380-13-jeetze-bei-dambeck";"1-380-13";"Jeetze bei Dambeck";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-380-14-alte-dumme-osterwohle-tylsen";"1-380-14";"Alte Dumme Osterwohle/Tylsen";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-380-15-beeke-bei-wallstawe-bis-mundung";"1-380-15";"Beeke bei Wallstawe bis Mündung";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-380-16-kalter-graben-bei-wallstawe";"1-380-16";"Kalter Graben bei Wallstawe";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-380-17-molmker-bach-von";"1-380-17";"Molmker Bach von";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"1-381-01-flot-und-muhlgraben-bei-mechau";"1-381-01";"Flöt- und Mühlgraben bei Mechau";"Altmarkkreis Salzwedel";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-160-01-kolk-in-bismark";"2-160-01";"Kolk in Bismark";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-160-02-secantsgraben-von-straenbrucke";"2-160-02";"Secantsgraben von Straßenbrücke";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-220-01-kleiner-see-bei-schonfeld";"2-220-01";"Kleiner See bei Schönfeld";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-220-02-scharlipper-see";"2-220-02";"Scharlipper See";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-220-04-kleiner-klietzer-see";"2-220-04";"Kleiner Klietzer See";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-220-05-gewasser-vor-dem-weiher-in-sandau";"2-220-05";"Gewässer vor dem Weiher in Sandau";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-220-06-wenddorfteich-in-sandau";"2-220-06";"Wenddorfteich in Sandau";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-220-10-eichenschlenke-bei-havelberg";"2-220-10";"Eichenschlenke bei Havelberg";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
