"id";"lavNumber";"name";"district";"status";"candidateSource";"candidateLatitude";"candidateLongitude";"confidence";"note"
"1-160-01-bruders-teich-bei-gardelegen";"1-160-01";"Brüders Teich bei Gardelegen";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.5298075";"11.3967719";"0.908";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-160-03-kieskuhle-die-lange-wohrde";"1-160-03";"Kieskuhle (Die lange Wohrde)";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.5298075";"11.3967719";"0.908";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-160-05-lindenthaler-teich-bei-gardelegen";"1-160-05";"Lindenthaler Teich bei Gardelegen";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.5298075";"11.3967719";"0.908";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-160-06-wilhelmskanal-von-strae";"1-160-06";"Wilhelmskanal von Straße";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"51.8048056";"12.2021957";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-160-07-rotzen-s-loch-bei-breiteiche";"1-160-07";"Rötzen´s Loch bei Breiteiche";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.4496619";"11.226834";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-160-12-mahlbusen-heidberg-bei-estedt";"1-160-12";"Mahlbusen-Heidberg bei Estedt";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.5774526";"11.3662233";"0.913";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-160-17-kellerbuschteiche-lindstedt";"1-160-17";"Kellerbuschteiche Lindstedt";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.5905802";"11.5322808";"0.925";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-160-18-untere-milde-von-straenbrucke";"1-160-18";"Untere Milde von Straßenbrücke";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"51.1982592";"11.8646502";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-160-19-teich-faule-breite-bei-letzlingen";"1-160-19";"Teich „Faule Breite“ bei Letzlingen";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.4460723";"11.4729848";"0.874";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-160-21-kiesgrube-wernitz";"1-160-21";"Kiesgrube Wernitz";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.4877963";"11.2364454";"0.91";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-160-23-grube-minna-bei-kassieck";"1-160-23";"Grube Minna bei Kassieck";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.5846956";"11.4873324";"0.927";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-161-02-milde-von-kalbe-straenbrucke";"1-161-02";"Milde von Kalbe (Straßenbrücke)";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.6469429";"11.3869608";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-161-03-untere-milde-von-winkelstedt";"1-161-03";"Untere Milde von Winkelstedt";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.677317";"11.3072696";"0.914";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-260-01-dorfteich-miesterhorst";"1-260-01";"Dorfteich Miesterhorst";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.460807";"11.1415221";"0.934";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-260-02-anglerteiche-apenburg";"1-260-02";"Anglerteiche Apenburg";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.7100588";"11.2006718";"0.914";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-260-08-langer-teich-immekath";"1-260-08";"Langer Teich Immekath";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.6277652";"11.0816699";"0.932";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-260-09-neues-gewasser-in-klotze";"1-260-09";"Neues Gewässer in Klötze";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.622978";"11.1655101";"0.9";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-260-11-jeetze-von-dorfstrae-im-amt";"1-260-11";"Jeetze von Dorfstraße im Amt";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.7859661";"11.1686674";"0.905";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-260-12-alte-badeanstalt-bei-jahrstedt";"1-260-12";"Alte Badeanstalt bei Jahrstedt";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.5633612";"10.9708505";"0.906";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-260-13-dorfteich-steimke";"1-260-13";"Dorfteich Steimke";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.58744";"10.963068";"0.921";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-260-14-ohre-in-steimke";"1-260-14";"Ohre in Steimke";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.6021446";"10.9490976";"0.878";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-260-16-ehemalige-klarteiche-in-kusey";"1-260-16";"ehemalige Klärteiche in Kusey";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.5802866";"11.1015091";"0.909";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-260-17-radestucken-neuekrug";"1-260-17";"Radestücken Neuekrug";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.7786135";"10.8198134";"0.841";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-260-19-groe-rothe-neuferchau";"1-260-19";"Große Röthe Neuferchau";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.5785765";"11.0840948";"0.836";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-260-20-untere-milde-cheinitz";"1-260-20";"Untere Milde Cheinitz";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.6991031";"11.2520614";"0.916";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-260-21-brookbuschteich-immekath";"1-260-21";"Brookbuschteich Immekath";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.6277652";"11.0816699";"0.932";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-260-22-moorgraben-cheinitz-bruchau";"1-260-22";"Moorgraben Cheinitz/Brüchau";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.6934562";"11.2659319";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-380-01-plattensee-bei-winterfeld";"1-380-01";"Plattensee bei Winterfeld";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.7421551";"11.2416101";"0.91";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-380-03-1-tonstich-in-den-beekwiesen";"1-380-03";"1. Tonstich in den Beekwiesen";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.8518698";"11.156102";"0.926";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-380-04-brietzer-teiche";"1-380-04";"Brietzer Teiche";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"51.6830703";"12.7977173";"0";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-380-05-teich-in-langenapel";"1-380-05";"Teich in Langenapel";"Altmarkkreis Salzwedel";"review";"two-source-v6.2-review";"52.8161811";"10.9622902";"0.914";"Kandidat vorhanden, aber bewusst nicht als kartiert veröffentlicht."
"1-380-06-blaukuhlen-in-fleetmark";"1-380-06";"Blaukuhlen in Fleetmark";"Altmarkkreis Salzwedel";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"1-380-07-wolfsteich-diesdorf";"1-380-07";"Wolfsteich Diesdorf";"Altmarkkreis Salzwedel";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"1-380-08-salzwedeler-dumme-von-bodden";"1-380-08";"Salzwedeler Dumme von Bödden-";"Altmarkkreis Salzwedel";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"1-380-09-tonstich-seibtscher-teich";"1-380-09";"Tonstich (Seibtscher Teich)";"Altmarkkreis Salzwedel";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"1-380-10-2-tonstich-in-beekwiesen-bei-salzwedel";"1-380-10";"2. Tonstich in Beekwiesen bei Salzwedel";"Altmarkkreis Salzwedel";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"1-380-11-regenruckhaltebecken-ritzer-brucke";"1-380-11";"Regenrückhaltebecken Ritzer Brücke";"Altmarkkreis Salzwedel";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"1-380-12-purnitz-bei-dambeck";"1-380-12";"Purnitz bei Dambeck";"Altmarkkreis Salzwedel";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"1-380-13-jeetze-bei-dambeck";"1-380-13";"Jeetze bei Dambeck";"Altmarkkreis Salzwedel";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"1-380-14-alte-dumme-osterwohle-tylsen";"1-380-14";"Alte Dumme Osterwohle/Tylsen";"Altmarkkreis Salzwedel";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"1-380-15-beeke-bei-wallstawe-bis-mundung";"1-380-15";"Beeke bei Wallstawe bis Mündung";"Altmarkkreis Salzwedel";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"1-380-16-kalter-graben-bei-wallstawe";"1-380-16";"Kalter Graben bei Wallstawe";"Altmarkkreis Salzwedel";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"1-380-17-molmker-bach-von";"1-380-17";"Molmker Bach von";"Altmarkkreis Salzwedel";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"1-381-01-flot-und-muhlgraben-bei-mechau";"1-381-01";"Flöt- und Mühlgraben bei Mechau";"Altmarkkreis Salzwedel";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"2-160-01-kolk-in-bismark";"2-160-01";"Kolk in Bismark";"Stendal";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"2-160-02-secantsgraben-von-straenbrucke";"2-160-02";"Secantsgraben von Straßenbrücke";"Stendal";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"2-220-01-kleiner-see-bei-schonfeld";"2-220-01";"Kleiner See bei Schönfeld";"Stendal";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"2-220-02-scharlipper-see";"2-220-02";"Scharlipper See";"Stendal";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"2-220-04-kleiner-klietzer-see";"2-220-04";"Kleiner Klietzer See";"Stendal";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"2-220-05-gewasser-vor-dem-weiher-in-sandau";"2-220-05";"Gewässer vor dem Weiher in Sandau";"Stendal";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"2-220-06-wenddorfteich-in-sandau";"2-220-06";"Wenddorfteich in Sandau";"Stendal";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"2-220-10-eichenschlenke-bei-havelberg";"2-220-10";"Eichenschlenke bei Havelberg";"Stendal";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
"2-220-11-kampierung-bei-havelberg";"2-220-11";"Kampierung bei Havelberg";"Stendal";"unmapped";"";"";"";"0";"Noch keine belastbare Kartenposition vorhanden."
