"id";"lavNumber";"name";"district";"status";"confidence";"latitude";"longitude";"displayName";"query"
"1-160-01-bruders-teich-bei-gardelegen";"1-160-01";"Brüders Teich bei Gardelegen";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"Brüders Teich bei Gardelegen Sachsen-Anhalt"
"1-160-02-wasserspeicher-luffingen";"1-160-02";"Wasserspeicher Lüffingen";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"Wasserspeicher Lüffingen Sachsen-Anhalt"
"1-160-03-kieskuhle-die-lange-wohrde";"1-160-03";"Kieskuhle (Die lange Wohrde)";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"Kieskuhle (Die lange Wohrde) Sachsen-Anhalt"
"1-160-04-stadtgraben-in-gardelegen";"1-160-04";"Stadtgraben in Gardelegen";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"Stadtgraben in Gardelegen Sachsen-Anhalt"
"1-160-05-lindenthaler-teich-bei-gardelegen";"1-160-05";"Lindenthaler Teich bei Gardelegen";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"Lindenthaler Teich bei Gardelegen Sachsen-Anhalt"
"1-160-06-wilhelmskanal-von-strae";"1-160-06";"Wilhelmskanal von Straße";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"Wilhelmskanal von Straße Sachsen-Anhalt"
"1-160-07-rotzen-s-loch-bei-breiteiche";"1-160-07";"Rötzen´s Loch bei Breiteiche";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"Rötzen´s Loch bei Breiteiche Sachsen-Anhalt"
"1-160-08-kiessee-gade-bei-solpke";"1-160-08";"Kiessee Gäde bei Solpke";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"Kiessee Gäde bei Solpke Sachsen-Anhalt"
"1-160-09-5-teiche-am-ipser-weg";"1-160-09";"5 Teiche am Ipser Weg";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"5 Teiche am Ipser Weg Sachsen-Anhalt"
"1-160-12-mahlbusen-heidberg-bei-estedt";"1-160-12";"Mahlbusen-Heidberg bei Estedt";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"Mahlbusen-Heidberg bei Estedt Sachsen-Anhalt"
