"id";"lavNumber";"name";"district";"status";"confidence";"method";"latitude";"longitude";"locality";"candidateName";"distanceKm";"candidateAreaHa"
"1-160-01-bruders-teich-bei-gardelegen";"1-160-01";"Brüders Teich bei Gardelegen";"Altmarkkreis Salzwedel";"review";"0.908";"locality-water-review";"52.5298075";"11.3967719";"Gardelegen";"";"0.42";""
"1-160-02-wasserspeicher-luffingen";"1-160-02";"Wasserspeicher Lüffingen";"Altmarkkreis Salzwedel";"review";"0.838";"locality-water-review";"52.5690667";"11.4038551";"Lüffingen";"";"1.34";""
"1-160-03-kieskuhle-die-lange-wohrde";"1-160-03";"Kieskuhle (Die lange Wohrde)";"Altmarkkreis Salzwedel";"review";"0.908";"locality-water-review";"52.5298075";"11.3967719";"Gardelegen";"";"0.42";""
"1-160-04-stadtgraben-in-gardelegen";"1-160-04";"Stadtgraben in Gardelegen";"Altmarkkreis Salzwedel";"review";"0.856";"locality-water-review";"52.5186616";"11.3838142";"Gardelegen";"";"1.1";""
"1-160-05-lindenthaler-teich-bei-gardelegen";"1-160-05";"Lindenthaler Teich bei Gardelegen";"Altmarkkreis Salzwedel";"review";"0.908";"locality-water-review";"52.5298075";"11.3967719";"Gardelegen";"";"0.42";""
"1-160-06-wilhelmskanal-von-strae";"1-160-06";"Wilhelmskanal von Straße";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"von Straße";"";"";""
"1-160-07-rotzen-s-loch-bei-breiteiche";"1-160-07";"Rötzen´s Loch bei Breiteiche";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";""
"1-160-08-kiessee-gade-bei-solpke";"1-160-08";"Kiessee Gäde bei Solpke";"Altmarkkreis Salzwedel";"review";"0.867";"locality-water-review";"52.5072174";"11.3007939";"Solpke";"";"0.95";""
"1-160-09-5-teiche-am-ipser-weg";"1-160-09";"5 Teiche am Ipser Weg";"Altmarkkreis Salzwedel";"review";"0.912";"locality-water-review";"52.5105546";"11.4031394";"Ipser Weg";"";"0.36";""
"1-160-12-mahlbusen-heidberg-bei-estedt";"1-160-12";"Mahlbusen-Heidberg bei Estedt";"Altmarkkreis Salzwedel";"review";"0.913";"locality-water-review";"52.5774526";"11.3662233";"Estedt";"";"0.35";""
"1-160-13-forsterteich-bei-jerchel";"1-160-13";"Försterteich bei Jerchel";"Altmarkkreis Salzwedel";"review";"0.905";"locality-water-review";"52.4660874";"11.3160803";"Jerchel";"";"0.45";""
"1-160-14-milde-von-gardelegen";"1-160-14";"Milde von Gardelegen-";"Altmarkkreis Salzwedel";"review";"0.896";"locality-water-review";"52.5194852";"11.5303351";"von Gardelegen-";"";"0.57";""
"1-160-15-blechbudenteich-bei";"1-160-15";"Blechbudenteich bei";"Altmarkkreis Salzwedel";"review";"0.846";"locality-water-review";"52.69358";"11.4673365";"bei";"";"1.22";""
"1-160-16-untere-milde-von-wegebrucke";"1-160-16";"Untere Milde von Wegebrücke";"Altmarkkreis Salzwedel";"review";"0.747";"locality-water-review";"52.7047934";"11.5078816";"die Milde";"";"2.52";""
"1-160-17-kellerbuschteiche-lindstedt";"1-160-17";"Kellerbuschteiche Lindstedt";"Altmarkkreis Salzwedel";"review";"0.925";"locality-water-review";"52.5905802";"11.5322808";"Lindstedt";"";"0.2";""
"1-160-18-untere-milde-von-straenbrucke";"1-160-18";"Untere Milde von Straßenbrücke";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";""
"1-160-19-teich-faule-breite-bei-letzlingen";"1-160-19";"Teich „Faule Breite“ bei Letzlingen";"Altmarkkreis Salzwedel";"review";"0.874";"locality-water-review";"52.4460723";"11.4729848";"Letzlingen";"";"0.86";""
"1-160-20-konigsgraben-vom-abschlag";"1-160-20";"Königsgraben vom Abschlag";"Altmarkkreis Salzwedel";"review";"0.747";"locality-water-review";"52.7047934";"11.5078816";"die Milde";"";"2.52";""
"1-160-21-kiesgrube-wernitz";"1-160-21";"Kiesgrube Wernitz";"Altmarkkreis Salzwedel";"review";"0.91";"locality-water-review";"52.4877963";"11.2364454";"Wernitz";"";"0.39";""
"1-160-22-secantsgraben-von-str-br-kalbe-m";"1-160-22";"Secantsgraben von Str.-Br. Kalbe/M. –";"Altmarkkreis Salzwedel";"review";"0.747";"locality-water-review";"52.7047934";"11.5078816";"die Milde";"";"2.52";""
"1-160-23-grube-minna-bei-kassieck";"1-160-23";"Grube Minna bei Kassieck";"Altmarkkreis Salzwedel";"review";"0.927";"locality-water-review";"52.5846956";"11.4873324";"Kassieck";"";"0.17";""
"1-161-01-teich-am-anglerheim-burggraben";"1-161-01";"Teich am Anglerheim (Burggraben)";"Altmarkkreis Salzwedel";"review";"0.937";"locality-water-review";"51.773576";"10.7971424";"Anglerheim";"";"0.04";""
"1-161-02-milde-von-kalbe-straenbrucke";"1-161-02";"Milde von Kalbe (Straßenbrücke)";"Altmarkkreis Salzwedel";"unmatched";"";"";"";"";"";"";"";""
"1-161-03-untere-milde-von-winkelstedt";"1-161-03";"Untere Milde von Winkelstedt";"Altmarkkreis Salzwedel";"review";"0.914";"locality-water-review";"52.677317";"11.3072696";"Winkelstedt";"";"0.34";""
"1-260-01-dorfteich-miesterhorst";"1-260-01";"Dorfteich Miesterhorst";"Altmarkkreis Salzwedel";"review";"0.934";"locality-water-review";"52.460807";"11.1415221";"Miesterhorst";"";"0.07";""
"1-260-02-anglerteiche-apenburg";"1-260-02";"Anglerteiche Apenburg";"Altmarkkreis Salzwedel";"review";"0.914";"locality-water-review";"52.7100588";"11.2006718";"Apenburg";"";"0.33";""
"1-260-03-wasserbecken-am-schlammgraben";"1-260-03";"Wasserbecken am Schlammgraben";"Altmarkkreis Salzwedel";"review";"0.83";"locality-water-review";"52.5761761";"11.0779017";"Kusey";"";"1.44";""
"1-260-04-prozebusch-in-dannefeld";"1-260-04";"Prozeßbusch in Dannefeld";"Altmarkkreis Salzwedel";"review";"0.923";"locality-water-review";"52.5076908";"11.1432105";"Dannefeld";"";"0.23";""
"1-260-05-sauergrund-bei-dannefeld";"1-260-05";"Sauergrund bei Dannefeld";"Altmarkkreis Salzwedel";"review";"0.923";"locality-water-review";"52.5076908";"11.1432105";"Dannefeld";"";"0.23";""
"1-260-07-beregnungsteich-bei-lockstedt";"1-260-07";"Beregnungsteich bei Lockstedt";"Altmarkkreis Salzwedel";"review";"0.892";"locality-water-review";"52.6657464";"11.1942592";"Lockstedt";"";"0.63";""
"1-260-08-langer-teich-immekath";"1-260-08";"Langer Teich Immekath";"Altmarkkreis Salzwedel";"review";"0.932";"locality-water-review";"52.6277652";"11.0816699";"Immekath";"";"0.11";""
"1-260-09-neues-gewasser-in-klotze";"1-260-09";"Neues Gewässer in Klötze";"Altmarkkreis Salzwedel";"review";"0.9";"locality-water-review";"52.622978";"11.1655101";"Klötze";"";"0.52";""
"1-260-10-teich-am-ehemaligen";"1-260-10";"Teich am ehemaligen";"Altmarkkreis Salzwedel";"review";"0.892";"locality-water-review";"52.6657464";"11.1942592";"Lockstedt";"";"0.63";""
"1-260-11-jeetze-von-dorfstrae-im-amt";"1-260-11";"Jeetze von Dorfstraße im Amt";"Altmarkkreis Salzwedel";"review";"0.905";"locality-water-review";"52.7859661";"11.1686674";"Amt";"";"0.45";""
"1-260-12-alte-badeanstalt-bei-jahrstedt";"1-260-12";"Alte Badeanstalt bei Jahrstedt";"Altmarkkreis Salzwedel";"review";"0.906";"locality-water-review";"52.5633612";"10.9708505";"Jahrstedt";"";"0.44";""
"1-260-13-dorfteich-steimke";"1-260-13";"Dorfteich Steimke";"Altmarkkreis Salzwedel";"review";"0.921";"locality-water-review";"52.58744";"10.963068";"Steimke";"";"0.24";""
"1-260-14-ohre-in-steimke";"1-260-14";"Ohre in Steimke";"Altmarkkreis Salzwedel";"review";"0.878";"locality-water-review";"52.6021446";"10.9490976";"Steimke";"Ohre";"1.96";""
"1-260-15-ohre-in-jahrstedt";"1-260-15";"Ohre in Jahrstedt";"Altmarkkreis Salzwedel";"review";"0.888";"locality-water-review";"52.5557359";"10.9815634";"Jahrstedt";"";"0.67";""
"1-260-16-ehemalige-klarteiche-in-kusey";"1-260-16";"ehemalige Klärteiche in Kusey";"Altmarkkreis Salzwedel";"review";"0.909";"locality-water-review";"52.5802866";"11.1015091";"Kusey";"";"0.41";""
"1-260-17-radestucken-neuekrug";"1-260-17";"Radestücken Neuekrug";"Altmarkkreis Salzwedel";"review";"0.841";"locality-water-review";"52.7786135";"10.8198134";"Neuekrug";"";"1.3";""
"1-260-18-dorfteich-dannefeld";"1-260-18";"Dorfteich Dannefeld";"Altmarkkreis Salzwedel";"review";"0.923";"locality-water-review";"52.5076908";"11.1432105";"Dannefeld";"";"0.23";""
"1-260-19-groe-rothe-neuferchau";"1-260-19";"Große Röthe Neuferchau";"Altmarkkreis Salzwedel";"review";"0.836";"locality-water-review";"52.5785765";"11.0840948";"Neuferchau";"";"1.36";""
"1-260-20-untere-milde-cheinitz";"1-260-20";"Untere Milde Cheinitz";"Altmarkkreis Salzwedel";"review";"0.916";"locality-water-review";"52.6991031";"11.2520614";"Cheinitz";"";"0.31";""
"1-260-21-brookbuschteich-immekath";"1-260-21";"Brookbuschteich Immekath";"Altmarkkreis Salzwedel";"review";"0.932";"locality-water-review";"52.6277652";"11.0816699";"Immekath";"";"0.11";""
