"id";"lavNumber";"name";"type";"status";"tier";"lat";"lon";"candidateName";"distanceKm";"gap";"nearCount";"veryNearCount";"reason"
"1-160-01-bruders-teich-bei-gardelegen";"1-160-01";"Brüders Teich bei Gardelegen";"Teich";"review";"unnamed-review";"52.5298075";"11.3967719";"";"0.42";"0.003";"23";"1";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-160-02-wasserspeicher-luffingen";"1-160-02";"Wasserspeicher Lüffingen";"See";"review";"unnamed-review";"52.5690667";"11.4038551";"";"1.34";"0.124";"0";"0";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-160-03-kieskuhle-die-lange-wohrde";"1-160-03";"Kieskuhle (Die lange Wohrde)";"Kiesgrube";"review";"unnamed-review";"52.5298075";"11.3967719";"";"0.42";"0.003";"23";"1";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-160-04-stadtgraben-in-gardelegen";"1-160-04";"Stadtgraben in Gardelegen";"Fließgewässer";"review";"flow";"52.5186616";"11.3838142";"";"1.1";"";"";"";"Fließgewässer benötigt Abschnittsprüfung."
"1-160-05-lindenthaler-teich-bei-gardelegen";"1-160-05";"Lindenthaler Teich bei Gardelegen";"Teich";"review";"unnamed-review";"52.5298075";"11.3967719";"";"0.42";"0.003";"23";"1";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-160-06-wilhelmskanal-von-strae";"1-160-06";"Wilhelmskanal von Straße";"Fließgewässer";"unmatched";"none";"";"";"";"";"";"";"";"Kein v3-Kandidat."
"1-160-07-rotzen-s-loch-bei-breiteiche";"1-160-07";"Rötzen´s Loch bei Breiteiche";"Teich";"unmatched";"none";"";"";"";"";"";"";"";"Kein v3-Kandidat."
"1-160-08-kiessee-gade-bei-solpke";"1-160-08";"Kiessee Gäde bei Solpke";"Kiesgrube";"review";"unnamed-review";"52.5072174";"11.3007939";"";"0.95";"0";"0";"0";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-160-09-5-teiche-am-ipser-weg";"1-160-09";"5 Teiche am Ipser Weg";"Teich";"review";"unnamed-review";"52.5105546";"11.4031394";"";"0.36";"0.009";"7";"0";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-160-12-mahlbusen-heidberg-bei-estedt";"1-160-12";"Mahlbusen-Heidberg bei Estedt";"See";"review";"unnamed-review";"52.5774526";"11.3662233";"";"0.35";"0.002";"3";"0";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-160-13-forsterteich-bei-jerchel";"1-160-13";"Försterteich bei Jerchel";"Teich";"review";"unnamed-review";"52.4660874";"11.3160803";"";"0.45";"0.141";"1";"0";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-160-14-milde-von-gardelegen";"1-160-14";"Milde von Gardelegen-";"Fließgewässer";"review";"flow";"52.5194852";"11.5303351";"";"0.57";"";"";"";"Fließgewässer benötigt Abschnittsprüfung."
"1-160-15-blechbudenteich-bei";"1-160-15";"Blechbudenteich bei";"Teich";"review";"unnamed-review";"52.69358";"11.4673365";"";"1.22";"0.037";"0";"0";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-160-16-untere-milde-von-wegebrucke";"1-160-16";"Untere Milde von Wegebrücke";"Fließgewässer";"review";"flow";"52.7047934";"11.5078816";"";"2.52";"";"";"";"Fließgewässer benötigt Abschnittsprüfung."
"1-160-17-kellerbuschteiche-lindstedt";"1-160-17";"Kellerbuschteiche Lindstedt";"Teich";"review";"unnamed-review";"52.5905802";"11.5322808";"";"0.2";"0.004";"4";"2";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-160-18-untere-milde-von-straenbrucke";"1-160-18";"Untere Milde von Straßenbrücke";"Fließgewässer";"unmatched";"none";"";"";"";"";"";"";"";"Kein v3-Kandidat."
"1-160-19-teich-faule-breite-bei-letzlingen";"1-160-19";"Teich „Faule Breite“ bei Letzlingen";"Teich";"review";"unnamed-review";"52.4460723";"11.4729848";"";"0.86";"0.007";"1";"0";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
"1-160-20-konigsgraben-vom-abschlag";"1-160-20";"Königsgraben vom Abschlag";"Fließgewässer";"review";"flow";"52.7047934";"11.5078816";"";"2.52";"";"";"";"Fließgewässer benötigt Abschnittsprüfung."
"1-160-21-kiesgrube-wernitz";"1-160-21";"Kiesgrube Wernitz";"Kiesgrube";"review";"unnamed-review";"52.4877963";"11.2364454";"";"0.39";"0.048";"1";"0";"Mehrere plausible Wasserobjekte oder kein ausreichender Vorsprung."
