"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"officialDistanceM";"officialName";"officialCandidateCount";"nameScore";"distanceGapM";"featureUseCount";"reason"
"1-160-01-bruders-teich-bei-gardelegen";"1-160-01";"Brüders Teich bei Gardelegen";"Teich";"review";"v71-no-official-feature";"";"699.5";"";"2";"0.000";"7.1";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-160-03-kieskuhle-die-lange-wohrde";"1-160-03";"Kieskuhle (Die lange Wohrde)";"Kiesgrube";"review";"v71-no-official-feature";"";"699.5";"";"2";"0.000";"7.1";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-160-04-stadtgraben-in-gardelegen";"1-160-04";"Stadtgraben in Gardelegen";"Fließgewässer";"review";"v71-no-official-feature";"";"27.2";"";"9";"0.000";"34.5";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-160-05-lindenthaler-teich-bei-gardelegen";"1-160-05";"Lindenthaler Teich bei Gardelegen";"Teich";"review";"v71-no-official-feature";"";"699.5";"";"2";"0.000";"7.1";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-160-12-mahlbusen-heidberg-bei-estedt";"1-160-12";"Mahlbusen-Heidberg bei Estedt";"See";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-160-15-blechbudenteich-bei";"1-160-15";"Blechbudenteich bei";"Teich";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-160-17-kellerbuschteiche-lindstedt";"1-160-17";"Kellerbuschteiche Lindstedt";"Teich";"review";"v71-no-official-feature";"";"425";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-160-19-teich-faule-breite-bei-letzlingen";"1-160-19";"Teich „Faule Breite“ bei Letzlingen";"Teich";"review";"v71-no-official-feature";"";"86";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-160-21-kiesgrube-wernitz";"1-160-21";"Kiesgrube Wernitz";"Kiesgrube";"review";"v71-no-official-feature";"";"473";"";"2";"0.000";"75.5";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-160-23-grube-minna-bei-kassieck";"1-160-23";"Grube Minna bei Kassieck";"Kiesgrube";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-161-03-untere-milde-von-winkelstedt";"1-161-03";"Untere Milde von Winkelstedt";"Fließgewässer";"review";"v71-no-official-feature";"";"229.9";"";"6";"0.000";"18.1";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-260-01-dorfteich-miesterhorst";"1-260-01";"Dorfteich Miesterhorst";"Teich";"review";"v71-no-official-feature";"";"";"";"0";"0.000";"";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-260-02-anglerteiche-apenburg";"1-260-02";"Anglerteiche Apenburg";"Teich";"review";"v71-no-official-feature";"";"137";"";"4";"0.000";"16.6";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
"1-260-08-langer-teich-immekath";"1-260-08";"Langer Teich Immekath";"Teich";"review";"v71-no-official-feature";"";"664";"";"1";"0.000";"9999";"0";"Kein eindeutig referenzierbares amtliches Feature; bleibt im Review."
