"id";"lavNumber";"name";"type";"result";"tier";"officialDistanceM";"officialName";"officialCandidateCount";"nameScore";"distanceGapM";"reason"
"1-160-01-bruders-teich-bei-gardelegen";"1-160-01";"Brüders Teich bei Gardelegen";"Teich";"review";"wide-standing-review";"699.5";"";"2";"0";"7.1";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"1-160-03-kieskuhle-die-lange-wohrde";"1-160-03";"Kieskuhle (Die lange Wohrde)";"Kiesgrube";"review";"wide-standing-review";"699.5";"";"2";"0";"7.1";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"1-160-04-stadtgraben-in-gardelegen";"1-160-04";"Stadtgraben in Gardelegen";"Fließgewässer";"review";"flow-review";"27.2";"";"9";"0";"34.5";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"1-160-05-lindenthaler-teich-bei-gardelegen";"1-160-05";"Lindenthaler Teich bei Gardelegen";"Teich";"review";"wide-standing-review";"699.5";"";"2";"0";"7.1";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"1-160-12-mahlbusen-heidberg-bei-estedt";"1-160-12";"Mahlbusen-Heidberg bei Estedt";"See";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"1-160-15-blechbudenteich-bei";"1-160-15";"Blechbudenteich bei";"Teich";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"1-160-17-kellerbuschteiche-lindstedt";"1-160-17";"Kellerbuschteiche Lindstedt";"Teich";"review";"standing-review";"425";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"1-160-19-teich-faule-breite-bei-letzlingen";"1-160-19";"Teich „Faule Breite“ bei Letzlingen";"Teich";"review";"standing-review";"86";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"1-160-21-kiesgrube-wernitz";"1-160-21";"Kiesgrube Wernitz";"Kiesgrube";"review";"wide-standing-review";"473";"";"2";"0";"75.5";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"1-160-23-grube-minna-bei-kassieck";"1-160-23";"Grube Minna bei Kassieck";"Kiesgrube";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"1-161-03-untere-milde-von-winkelstedt";"1-161-03";"Untere Milde von Winkelstedt";"Fließgewässer";"review";"flow-review";"229.9";"";"6";"0";"18.1";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"1-260-01-dorfteich-miesterhorst";"1-260-01";"Dorfteich Miesterhorst";"Teich";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"1-260-02-anglerteiche-apenburg";"1-260-02";"Anglerteiche Apenburg";"Teich";"review";"standing-review";"137";"";"4";"0";"16.6";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"1-260-08-langer-teich-immekath";"1-260-08";"Langer Teich Immekath";"Teich";"review";"wide-standing-review";"664";"";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"1-260-09-neues-gewasser-in-klotze";"1-260-09";"Neues Gewässer in Klötze";"See";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
