"officialFeatureId";"id";"lavNumber";"name";"type";"result";"score";"distanceM";"nameScore";"groupSize";"winnerMargin";"tier";"reason"
"StandingWater_DESTGEOT00003zoQ";"1-160-01-bruders-teich-bei-gardelegen";"1-160-01";"Brüders Teich bei Gardelegen";"Teich";"review";"0.000";"699.5";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00003zoQ";"1-160-03-kieskuhle-die-lange-wohrde";"1-160-03";"Kieskuhle (Die lange Wohrde)";"Kiesgrube";"review";"0.000";"699.5";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00003zoQ";"1-160-05-lindenthaler-teich-bei-gardelegen";"1-160-05";"Lindenthaler Teich bei Gardelegen";"Teich";"review";"0.000";"699.5";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00003g7U";"1-260-08-langer-teich-immekath";"1-260-08";"Langer Teich Immekath";"Teich";"review";"0.000";"664.0";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00003g7U";"1-260-21-brookbuschteich-immekath";"1-260-21";"Brookbuschteich Immekath";"Teich";"review";"0.000";"664.0";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT000067Cx";"2-330-24-der-haken-am-hausberg-bei";"2-330-24";"Der Haken am Hausberg bei";"See";"review";"0.249";"163.5";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT000067Cx";"2-334-05-kiesgrube-schwimmbad-bei";"2-334-05";"Kiesgrube Schwimmbad bei";"Kiesgrube";"review";"0.249";"163.5";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT000067Cx";"2-420-07-ziegeleiteich-charlottenhof-bei";"2-420-07";"Ziegeleiteich Charlottenhof bei";"Teich";"review";"0.249";"163.5";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT000045Tt";"2-420-11-fieber-in-stendal";"2-420-11";"Fieber in Stendal";"See";"review";"0.177";"188.6";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT000045Tt";"2-426-01-jaeneckes-teiche-bei-stendal";"2-426-01";"Jaeneckes Teiche bei Stendal";"Teich";"review";"0.177";"188.6";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT0000eh5b";"2-422-02-altes-kiesloch-bei-tangermunde";"2-422-02";"Altes Kiesloch bei Tangermünde";"Kiesgrube";"review";"0.417";"105.1";"0.000";"4";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 4 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT0000eh5b";"2-422-03-neues-kiesloch-bei-tangermunde";"2-422-03";"Neues Kiesloch bei Tangermünde";"Kiesgrube";"review";"0.417";"105.1";"0.000";"4";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 4 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT0000eh5b";"2-422-04-hartsteinwerke-bei-tangermunde";"2-422-04";"Hartsteinwerke bei Tangermünde";"See";"review";"0.417";"105.1";"0.000";"4";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 4 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT0000eh5b";"2-422-14-hafenbecken-tangermunde";"2-422-14";"Hafenbecken Tangermünde";"See";"review";"0.417";"105.1";"0.000";"4";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 4 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00004gNc";"2-423-02-bucher-kl-lanke";"2-423-02";"Bucher kl. Lanke";"See";"review";"0.181";"187.0";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00004gNc";"2-423-03-bucher-lanke";"2-423-03";"Bucher Lanke";"See";"review";"0.181";"187.0";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT0000eb6i";"3-200-01-sieben-insel-teich-in-flechtingen";"3-200-01";"Sieben-Insel-Teich in Flechtingen";"Teich";"review";"0.617";"35.8";"0.000";"5";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 5 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT0000eb6i";"3-200-02-holzmuhlenteich-in-flechtingen";"3-200-02";"Holzmühlenteich in Flechtingen";"Teich";"review";"0.617";"35.8";"0.000";"5";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 5 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT0000eb6i";"3-200-03-muhlenteich-flechtingen";"3-200-03";"Mühlenteich Flechtingen";"Teich";"review";"0.617";"35.8";"0.000";"5";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 5 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT0000eb6i";"3-200-06-muhlenteich-flechtingen";"3-200-06";"Mühlenteich Flechtingen";"Teich";"review";"0.617";"35.8";"0.000";"5";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 5 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT0000eb6i";"3-200-04-schloteich-in-flechtingen";"3-200-04";"Schloßteich in Flechtingen";"Teich";"review";"0.551";"101.8";"0.444";"5";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 5 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00001LaJ";"3-200-09-nachtwiese-bei-bebertal";"3-200-09";"Nachtwiese bei Bebertal";"See";"review";"0.000";"426.6";"0.000";"4";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 4 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00001LaJ";"3-200-10-haidteich-bei-bebertal";"3-200-10";"Haidteich bei Bebertal";"Teich";"review";"0.000";"426.6";"0.000";"4";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 4 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00001LaJ";"3-200-16-neuer-teich-in-bebertal";"3-200-16";"Neuer Teich in Bebertal";"Teich";"review";"0.000";"426.6";"0.000";"4";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 4 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00001LaJ";"3-200-47-markgrafenteich-bei-bebertal";"3-200-47";"Markgrafenteich bei Bebertal";"Teich";"review";"0.000";"426.6";"0.000";"4";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 4 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT000013d8";"5-340-01-erichsburger-teich-bei-friedrichsbrunn";"5-340-01";"Erichsburger Teich bei Friedrichsbrunn";"Teich";"review";"0.000";"305.1";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT000013d8";"5-340-12-gondelteich-in-friedrichsbrunn";"5-340-12";"Gondelteich in Friedrichsbrunn";"Teich";"review";"0.000";"305.1";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00001ogw";"5-340-02-bergrat-muller-teich-bei-gernrode";"5-340-02";"Bergrat-Müller Teich bei Gernrode";"Teich";"review";"0.000";"593.1";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00001ogw";"5-340-03-neuer-teich-bei-gernrode";"5-340-03";"Neuer Teich bei Gernrode";"Teich";"review";"0.000";"593.1";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00001ogu";"5-340-11-kleiner-siebersteinsteich-bei-ballenstedt-b-h-k-pl-s-z-1-80";"5-340-11";"Kleiner Siebersteinsteich bei Ballenstedt B, H, K, Pl, S, Z 1,80";"Teich";"review";"0.000";"448.2";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00001ogu";"5-340-15-glockenteich-ballenstedt";"5-340-15";"Glockenteich Ballenstedt";"Teich";"review";"0.000";"448.2";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00001ogu";"5-340-22-schloteich-ballenstedt";"5-340-22";"Schloßteich Ballenstedt";"Teich";"review";"0.000";"448.2";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"Watercourse_DESTGEOT00002LqT_lin";"5-340-20-muhlgraben-thale-0-25";"5-340-20";"Mühlgraben Thale 0,25";"Fließgewässer";"review";"0.099";"215.6";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"Watercourse_DESTGEOT00002LqT_lin";"8-460-42-krummer-see-bodemar-bei-seegrehna-a-bl-h-k-pl-s-1-24";"8-460-42";"Krummer See (Bodemar) bei Seegrehna A, Bl, H, K, Pl, S 1,24";"Fließgewässer";"review";"0.099";"215.6";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00000Q54";"5-450-02-groer-schachtteich-bei-wienrode";"5-450-02";"Großer Schachtteich bei Wienrode";"Teich";"review";"0.603";"76.1";"0.364";"3";"0.039";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00000Q54";"5-450-05-kleiner-schachtteich-bei-wienrode-a-b-h-k-pl-s-z-0-47";"5-450-05";"Kleiner Schachtteich bei Wienrode A, B, H, K, Pl, S, Z 0,47";"Teich";"review";"0.564";"76.1";"0.226";"3";"0.039";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00000Q54";"5-450-06-wiesenteich-bei-wienrode";"5-450-06";"Wiesenteich bei Wienrode";"Teich";"review";"0.501";"76.1";"0.000";"3";"0.039";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00001UVB";"6-100-11-gondelteich-aschersleben";"6-100-11";"Gondelteich Aschersleben";"Teich";"review";"0.128";"573.8";"0.458";"3";"0.128";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00001UVB";"6-100-06-tonkuhle-nahry-aschersleben";"6-100-06";"Tonkuhle Nahry Aschersleben";"See";"review";"0.000";"573.8";"0.000";"3";"0.128";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00001UVB";"6-100-12-kiesgrube-an-der-froser-strae";"6-100-12";"Kiesgrube an der Froser Straße";"Kiesgrube";"review";"0.000";"573.8";"0.000";"3";"0.128";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002wbT";"6-110-01-flanschenteich-bebitz";"6-110-01";"Flanschenteich Bebitz";"Teich";"review";"0.078";"222.9";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT00002wbT";"6-110-20-schwefelteich-bebitz";"6-110-20";"Schwefelteich Bebitz";"Teich";"review";"0.078";"222.9";"0.000";"2";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 2 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT0000d6Pm";"6-110-03-neues-tonloch-beesenlaublingen";"6-110-03";"Neues Tonloch Beesenlaublingen";"See";"review";"0.000";"593.9";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT0000d6Pm";"6-110-04-altes-tonloch-beesenlaublingen";"6-110-04";"Altes Tonloch Beesenlaublingen";"See";"review";"0.000";"593.9";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
"StandingWater_DESTGEOT0000d6Pm";"6-110-22-kiesgrube-beesenlaublingen";"6-110-22";"Kiesgrube Beesenlaublingen";"Kiesgrube";"review";"0.000";"593.9";"0.000";"3";"0.000";"v8-conflict-review";"Mehrfachbelegung mit 3 LAV-Einträgen; kein ausreichend klarer automatischer Gewinner für diesen Eintrag."
