"id";"lavNumber";"name";"type";"result";"tier";"officialFeatureId";"distanceM";"candidateCount";"nameScore";"gapM";"featureUseCount";"reason"
"4-492-02-groer-teich-bei-dalchau";"4-492-02";"Großer Teich bei Dalchau";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOT000030Zq";"456.8";"2";"0";"66.7";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"5-100-02-ellernteich-in-reinstedt";"5-100-02";"Ellernteich in Reinstedt";"Teich";"review";"v102-standing-review";"StandingWater_DESTGEOTR100et6H";"561";"5";"0";"36.4";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"5-340-05-kunstteich-in-ballenstedt";"5-340-05";"Kunstteich in Ballenstedt";"Teich";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00001ogC";"297.5";"5";"0";"92.7";"3";"Dasselbe amtliche Feature wird von 3 neuen Reviews beansprucht; keine automatische Freigabe."
"5-340-07-groer-dachsteich-bei-ballenstedt";"5-340-07";"Großer Dachsteich bei Ballenstedt";"Teich";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00001ogC";"297.5";"5";"0";"92.7";"3";"Dasselbe amtliche Feature wird von 3 neuen Reviews beansprucht; keine automatische Freigabe."
"5-340-10-groer-siebersteinsteich-bei-ballenstedt-a-b-bl-h-k-4-20-pl-ro-s";"5-340-10";"Großer Siebersteinsteich bei Ballenstedt A, B, Bl, H, K, 4,20 Pl, Ro, S";"Teich";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT00001ogC";"297.5";"5";"0";"92.7";"3";"Dasselbe amtliche Feature wird von 3 neuen Reviews beansprucht; keine automatische Freigabe."
"5-450-01-luttgenbornecke-bei-bornecke";"5-450-01";"Lüttgenbörnecke bei Börnecke";"See";"review";"v102-standing-review";"StandingWater_DESTGEOTR100arYM";"311.3";"2";"0";"68.9";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"6-110-18-fuhne-vom-viadukt-bei-kleinwirschleben-a-b-bl-h-k-pl-ro-4-00-bis-mundung-in-die-saale";"6-110-18";"Fuhne vom Viadukt bei Kleinwirschleben A, B, Bl, H, K, Pl, Ro 4,00 bis Mündung in die Saale";"Fließgewässer";"review";"v102-flow-review";"Watercourse_DESTGEOT00002wVu_lin";"160.7";"10";"0";"26.6";"1";"Fließgewässer bleibt ohne starkes Namenssignal im Review."
"6-111-02-feldlache-in-der-aue-bei-nienburg";"6-111-02";"Feldlache in der Aue bei Nienburg";"See";"review";"v102-standing-review";"StandingWater_DESTGEOT00002yV9";"579.8";"5";"0";"52.3";"1";"Nähe allein reicht beim neu erzeugten Ortsanker nicht für automatische Freigabe."
"6-400-07-erdkuten-grune-lungen-bei-calbe";"6-400-07";"Erdkuten (Grüne Lungen) bei Calbe";"See";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT0000essl";"627.5";"1";"0";"9999";"2";"Dasselbe amtliche Feature wird von 2 neuen Reviews beansprucht; keine automatische Freigabe."
"6-400-08-damaschkeplan-2-teiche-bei-calbe";"6-400-08";"Damaschkeplan (2 Teiche) bei Calbe";"Teich";"review";"v102-duplicate-blocked";"StandingWater_DESTGEOT0000essl";"627.5";"1";"0";"9999";"2";"Dasselbe amtliche Feature wird von 2 neuen Reviews beansprucht; keine automatische Freigabe."
