"officialFeatureId";"id";"lavNumber";"name";"type";"result";"tier";"distanceM";"nameScore";"candidateCount";"gapM";"featureUseCount";"groupMargin";"reason"
"StandingWater_DESTGEOT00002KP2";"6-100-02-tonkuhle-badetonkuhle-in-aschersleben-a-h-k-pl-ro-s-0-30";"6-100-02";"Tonkuhle (Badetonkuhle) in Aschersleben A, H, K, Pl, Ro, S 0,30";"See";"review";"v112-conflict-review";"250.0";"0.000";"4";"564.6";"3";"0.010";"Amtliches Feature wird von 3 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOT00002KP2";"10-370-03-steinbruch-am-gutzer-berg-bei-landsberg-a-b-h-k-pl-ro-s-3-20";"10-370-03";"Steinbruch am Gützer Berg bei Landsberg A, B, H, K, Pl, Ro, S 3,20";"See";"review";"v112-conflict-review";"254.3";"0.000";"4";"636.8";"3";"0.010";"Amtliches Feature wird von 3 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOT00002KP2";"8-460-46-alter-bruckenkopf-muschelteich-pratau-b-bl-h-pl-1-24";"8-460-46";"Alter Brückenkopf (Muschelteich) Pratau B, Bl, H, Pl 1,24";"Teich";"review";"v112-conflict-review";"259.9";"0.000";"4";"585.0";"3";"0.010";"Amtliches Feature wird von 3 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOT00001GLG";"6-100-04-birkenweiher-gatersleben";"6-100-04";"Birkenweiher Gatersleben";"See";"matched";"v112-confirmed";"3.6";"0.000";"3";"155.5";"1";"1.000";"v11.2 bestätigt: amtliches Feature konfliktfrei bzw. klarer Gruppengewinner; Abstand 3.6 m, Score 0.792."
"Watercourse_DESTGEOTR100ffiF_lin";"6-100-07-hauptseegraben-von-einmundung";"6-100-07";"Hauptseegraben von Einmündung";"Fließgewässer";"review";"v112-conflict-review";"315.0";"0.000";"7";"60.9";"3";"0.000";"Amtliches Feature wird von 3 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"Watercourse_DESTGEOTR100ffiF_lin";"8-183-14-fliegraben-von-straenbrucke";"8-183-14";"Fließgraben von Straßenbrücke";"Fließgewässer";"review";"v112-conflict-review";"315.0";"0.000";"7";"60.9";"3";"0.000";"Amtliches Feature wird von 3 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"Watercourse_DESTGEOTR100ffiF_lin";"9-150-17-sudlicher-ringkanal-von";"9-150-17";"Südlicher Ringkanal von";"Fließgewässer";"review";"v112-conflict-review";"315.0";"0.000";"7";"60.9";"3";"0.000";"Amtliches Feature wird von 3 v11-Kandidaten beansprucht; kein ausreichend klarer Gewinner."
"StandingWater_DESTGEOT0000d6Pm";"6-110-02-dammloch-beesenlaublingen";"6-110-02";"Dammloch Beesenlaublingen";"See";"review";"v112-review";"648.6";"0.000";"4";"67.6";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"StandingWater_DESTGEOT00002wci";"6-110-05-alter-tagebau-gerlebogk";"6-110-05";"Alter Tagebau Gerlebogk";"Kiesgrube";"review";"v112-review";"16.6";"0.000";"9";"329.4";"1";"1.000";"Kandidat bleibt nach Distanz-/Gap-/Namensprüfung im Review."
"Watercourse_DESTGEOTR100fRZ3_lin";"6-110-13-saalealtarm-aderstedt";"6-110-13";"Saalealtarm Aderstedt";"Fließgewässer";"review";"v112-flow-review";"184.8";"0.000";"35";"23.5";"1";"1.000";"Fließgewässer erfüllt die strengen v11.2-Kriterien nicht."
