lavNumber;catalogName;district;atlasName;latitude;longitude;featureId;geometryType;officialMatch
1-160-04;Stadtgraben in Gardelegen;Altmarkkreis Salzwedel;Stadtgraben in Gardelegen;52.53;11.39;v_gewaesser.fid-36945e2d_19febabadac_6d23;MultiPolygon;YES
1-160-06;Wilhelmskanal von Straße;Altmarkkreis Salzwedel;Wilhelmskanal von Straße Taterebrg-Miestehorst bis Mündung in die Ohre;52.45;11.14;v_gewaesser.fid-36945e2d_19febabadac_69a0;MultiPolygon;YES
1-160-14;Milde von Gardelegen-;Altmarkkreis Salzwedel;Milde;52.61;11.39;v_gewaesser.fid-36945e2d_19febabadac_6d66;MultiPolygon;YES
1-160-16;Untere Milde von Wegebrücke;Altmarkkreis Salzwedel;Untere Milde von Wegebrücke Kahrstedt/Karritz bis Mündung in die Milde;52.7;11.48;v_gewaesser.fid-36945e2d_19febabadac_69a1;MultiPolygon;YES
1-160-18;Untere Milde von Straßenbrücke;Altmarkkreis Salzwedel;Untere Milde von Straßenbrücke Wustrewe/Zethlingen bis Winkelstedt;52.6866667;11.3266667;v_gewaesser.fid-36945e2d_19febabadac_69a2;MultiPolygon;YES
1-160-20;Königsgraben vom Abschlag;Altmarkkreis Salzwedel;Königsgraben vom Abschlag Schenkenhorst bis Mündung in die Milde;52.64;11.41;v_gewaesser.fid-36945e2d_19febabadac_69a3;MultiPolygon;YES
1-160-22;Secantsgraben von Str.-Br. Kalbe/M. –;Altmarkkreis Salzwedel;Secantsgraben von Str.-Br. Kalbe/M. – Neuendorf a. D. bis Mündung in die Milde;52.66;11.45;v_gewaesser.fid-36945e2d_19febabadac_69a4;MultiPolygon;YES
1-161-01;Teich am Anglerheim (Burggraben);Altmarkkreis Salzwedel;Teich am Anglerheim (Burggraben) in Kalbe/Milde;52.65;11.39;v_gewaesser.fid-36945e2d_19febabadac_6d32;MultiPolygon;YES
1-161-02;Milde von Kalbe (Straßenbrücke);Altmarkkreis Salzwedel;Milde von Kalbe (Straßenbrücke) bis Eimündung des Secantsgraben;52.6633334;11.4566667;v_gewaesser.fid-36945e2d_19febabadac_6dda;MultiPolygon;YES
1-161-03;Untere Milde von Winkelstedt;Altmarkkreis Salzwedel;Untere Milde von Winkelstedt bis Brücke Kahrstedt-Karritz;52.6733333;11.3533333;v_gewaesser.fid-36945e2d_19febabadac_69a7;MultiPolygon;YES
1-260-03;Wasserbecken am Schlammgraben;Altmarkkreis Salzwedel;Wasserbecken am Schlammgraben bei Kusey;52.55;11.1;v_gewaesser.fid-36945e2d_19febabadac_6a1e;MultiPolygon;YES
1-260-11;Jeetze von Dorfstraße im Amt;Altmarkkreis Salzwedel;Jeetze von Dorfstraße im Amt Dambeck bis Landesgrenze;52.8488889;11.1633333;v_gewaesser.fid-36945e2d_19febabadac_6da3;MultiPolygon;YES
1-260-14;Ohre in Steimke;Altmarkkreis Salzwedel;Ohre in Steimke;52.58;10.98;v_gewaesser.fid-36945e2d_19febabadac_6c89;MultiPolygon;YES
1-260-15;Ohre in Jahrstedt;Altmarkkreis Salzwedel;Ohre in Jahrstedt;52.56;10.98;v_gewaesser.fid-36945e2d_19febabadac_6c8b;MultiPolygon;YES
1-260-20;Untere Milde Cheinitz;Altmarkkreis Salzwedel;Untere Milde Cheinitz;52.7;11.27;v_gewaesser.fid-36945e2d_19febabadac_69a5;MultiPolygon;YES
1-260-22;Moorgraben Cheinitz/Brüchau;Altmarkkreis Salzwedel;Moorgraben Cheinitz/Brüchau;52.7;11.23;v_gewaesser.fid-36945e2d_19febabadac_6d6c;MultiPolygon;YES
1-380-13;Jeetze bei Dambeck;Altmarkkreis Salzwedel;Jeetze bei Dambeck;52.79;11.16;v_gewaesser.fid-36945e2d_19febabadac_6d53;MultiPolygon;YES
1-380-16;Kalter Graben bei Wallstawe;Altmarkkreis Salzwedel;Kalter Graben bei Wallstawe bis Mündung in die Dumme;52.8;11.0;v_gewaesser.fid-36945e2d_19febabadac_6d55;MultiPolygon;YES
1-381-01;Flöt- und Mühlgraben bei Mechau;Altmarkkreis Salzwedel;Flöt- und Mühlgraben bei Mechau;52.86;11.36;v_gewaesser.fid-36945e2d_19febabadac_6c7a;MultiPolygon;YES
2-160-02;Secantsgraben von Straßenbrücke;Stendal;Secantsgraben von Straßenbrücke Lindstedt/Holzhausen bis Straßenbrücke Kalbe/Neuendorf am Damm;52.61;11.48;v_gewaesser.fid-36945e2d_19febabadac_69bd;MultiPolygon;YES
2-220-10;Eichenschlenke bei Havelberg;Stendal;Eichenschlenke bei Havelberg;52.82;12.04;v_gewaesser.fid-36945e2d_19febabadac_6a2f;MultiPolygon;YES
2-220-11;Kampierung bei Havelberg;Stendal;Kampierung bei Havelberg;52.82;12.04;v_gewaesser.fid-36945e2d_19febabadac_6c7f;MultiPolygon;YES
2-220-12;Große Wiesenschlenke bei Havelberg;Stendal;Große Wiesenschlenke bei Havelberg;52.82;12.04;v_gewaesser.fid-36945e2d_19febabadac_6c80;MultiPolygon;YES
2-220-13;Hornings Bracke bei Havelberg;Stendal;Hornings Bracke bei Havelberg;52.82;12.04;v_gewaesser.fid-36945e2d_19febabadac_6cf8;MultiPolygon;YES
2-220-14;Kühnsches Loch bei Havelberg;Stendal;Kühnsches Loch bei Havelberg;52.82;12.04;v_gewaesser.fid-36945e2d_19febabadac_6c7e;MultiPolygon;YES
2-220-15;Karpfenlöcher bei Havelberg;Stendal;Karpfenlöcher bei Havelberg;52.81;12.04;v_gewaesser.fid-36945e2d_19febabadac_6cf9;MultiPolygon;YES
2-220-18;Elbe km 428-431 rechtsseitig;Stendal;Elbe km 428-431 rechtsseitig;52.8755555;11.9855556;v_gewaesser.fid-36945e2d_19febabadac_69be;MultiPolygon;YES
2-220-20;Garzer See in Havelberg;Stendal;Garzer See in Havelberg;52.75;12.21;v_gewaesser.fid-36945e2d_19febabadac_6c57;MultiPolygon;YES
2-330-11;Alte Elbe und Gänsebrink;Stendal;Alte Elbe und Gänsebrink Berge/Sandauer Holz;52.81;11.99;v_gewaesser.fid-36945e2d_19febabadac_6a37;MultiPolygon;YES
2-330-12;Binnengewässer links der Elbe;Stendal;Binnengewässer links der Elbe bei Pappelhagen;52.95;11.81;v_gewaesser.fid-36945e2d_19febabadac_6c7c;MultiPolygon;YES
2-330-14;Elbe von km 428 - 454 linksseitig;Stendal;Elbe von km 428 - 454;52.908;11.882;v_gewaesser.fid-36945e2d_19febabadac_69bf;MultiPolygon;YES
2-330-29;Bodenentnahmestelle Losenrade 1;Stendal;Bodenentnahmestelle Losenrade 1;52.96;11.77;v_gewaesser.fid-36945e2d_19febabadac_6c73;MultiPolygon;YES
2-330-30;Bodenentnahmestelle Krüden;Stendal;Bodenentnahmestelle Krüden;52.95;11.69;v_gewaesser.fid-36945e2d_19febabadac_6c74;MultiPolygon;YES
2-332-01;Milde/Biese von Einmündung des;Stendal;Milde/Biese von Einmündung des Secantsgrabens (bei Butterhorst) bis Einmündung des Augrabens (b. Gladigau);52.73;11.52;v_gewaesser.fid-36945e2d_19febabadac_6d1f;MultiPolygon;YES
2-334-01;Bleichwehl bei Werben/Elbe;Stendal;Bleichwehl bei Werben/Elbe;52.86;12.0;v_gewaesser.fid-36945e2d_19febabadac_6a3d;MultiPolygon;YES
2-334-02;Marschners Loch bei Werben/Elbe;Stendal;Marschners Loch bei Werben/Elbe;52.87;12.0;v_gewaesser.fid-36945e2d_19febabadac_6a3e;MultiPolygon;YES
2-420-08;Elbe km 392 - 402 linksseitig;Stendal;Elbe km 392 - 402;52.6238889;12.0061111;v_gewaesser.fid-36945e2d_19febabadac_69c7;MultiPolygon;YES
2-421-01;Dollgraben;Stendal;Dollgraben;52.45;11.79;v_gewaesser.fid-36945e2d_19febabadac_69c8;MultiPolygon;YES
2-421-11;Elbe km 372, 4 – km 378 linksseitig;Stendal;Elbe km 372, 4 - km 378 linksseitig;52.425;11.985;v_gewaesser.fid-36945e2d_19febabadac_69ca;MultiPolygon;YES
2-422-12;Elbe km 386-392 beidseitig, km 391-392;Stendal;Elbe km 386-392 beidseitig;52.5533333;11.9813333;v_gewaesser.fid-36945e2d_19febabadac_69cb;MultiPolygon;YES
3-200-08;Mühlenteich Bodendorf bei Süplingen;Börde;Mühlenteich Bodendorf bei Süplingen;52.29;11.29;v_gewaesser.fid-36945e2d_19febabadac_6a5b;MultiPolygon;YES
3-200-13;Hofteich Bodendorf;Börde;Hofteich Bodendorf;52.29;11.29;v_gewaesser.fid-36945e2d_19febabadac_6a5c;MultiPolygon;YES
3-200-33;Mittelllandkanal Bereich;Börde;Mittelllandkanal Bereich Haldensleben;52.3213333;11.3606667;v_gewaesser.fid-36945e2d_19febabadac_69d0;MultiPolygon;YES
3-200-34;Ohre von Straßenbrücke Calvörde;Börde;Ohre von Straßenbrücke Calvörde bis Vahlsdorfer Brücke;52.3116667;11.4;v_gewaesser.fid-36945e2d_19febabadac_6dd2;MultiPolygon;YES
3-261-01;Mittellandkanal Bereich Oebisfelde;Börde;Mittellandkanal Bereich Oebisfelde;52.4448718;11.1184615;v_gewaesser.fid-36945e2d_19febabadac_69d9;MultiPolygon;YES
3-261-05;Landgraben bei Oebisfelde;Börde;Landgraben bei Oebisfelde;52.41;11.0;v_gewaesser.fid-36945e2d_19febabadac_69db;MultiPolygon;YES
3-430-08;Bode von Einmündung des Mühl-;Börde;Bode von Einmündung des Mühlgrabens an der Bodebrücke Hadmersleben bis Wehr Egeln-Nord (Oberwasser);51.99;11.38;v_gewaesser.fid-36945e2d_19febabadac_69cd;MultiPolygon;YES
3-470-06;Mittellandkanal Bereich Wolmirstedt;Börde;Mittellandkanal Bereich Wolmirstedt;52.23;11.57;v_gewaesser.fid-36945e2d_19febabadac_69dc;MultiPolygon;YES
3-470-17;Ohre von Vahldorfer Brücke bis;Börde;Ohre von Vahldorfer Brücke bis Ortsgrenze Wolmirstedt;52.26;11.55;v_gewaesser.fid-36945e2d_19febabadac_69dd;MultiPolygon;YES
3-470-26;Ohre von Wolmirstedt bis Elbmündung;Börde;Ohre von Wolmirstedt bis Elbmündung;52.2933333;11.7133333;v_gewaesser.fid-36945e2d_19febabadac_69de;MultiPolygon;YES
3-470-27;Mittellandkanal km 320, 10 – 321, 10;Börde;Mittellandkanal km 320,10 – km 321,10;52.23;11.68;v_gewaesser.fid-36945e2d_19febabadac_69df;MultiPolygon;YES
3-472-05;Ohre Stadgebiet Wolmirstedt;Börde;Ohre Stadgebiet Wolmirstedt;52.25;11.62;v_gewaesser.fid-36945e2d_19febabadac_6a98;MultiPolygon;YES
4-130-01;Alte Elbe Lostau;Jerichower Land;Alte Elbe Lostau;52.2066667;11.7266667;v_gewaesser.fid-36945e2d_19febabadac_6a99;MultiPolygon;YES
4-130-15;Elbe-Havel-Kanal km 326, 67- km 344;Jerichower Land;Elbe-Havel-Kanal km326, 67-km344;52.2833333;11.8446667;v_gewaesser.fid-36945e2d_19febabadac_69e0;MultiPolygon;YES
4-130-18;Elbe km 334-350 beidseitig;Jerichower Land;Elbe km 334-350 beidseitig;52.2690476;11.7380952;v_gewaesser.fid-36945e2d_19febabadac_69e1;MultiPolygon;YES
4-130-24;Niegripper Verbindungskanal;Jerichower Land;Niegripper Verbindungskanal von km 0, 95 - km 1, 60;52.25;11.73;v_gewaesser.fid-36945e2d_19febabadac_69e6;MultiPolygon;YES
