lavNumber;catalogName;atlasName;featureId;latitude;longitude;geometryType;status;reason
1-160-04;Stadtgraben in Gardelegen;Stadtgraben in Gardelegen;v_gewaesser.fid-36945e2d_19febabadac_6d23;52.53;11.39;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
1-160-06;Wilhelmskanal von Straße;Wilhelmskanal von Straße Taterebrg-Miestehorst bis Mündung in die Ohre;v_gewaesser.fid-36945e2d_19febabadac_69a0;52.45;11.14;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
1-160-14;Milde von Gardelegen-;Milde;v_gewaesser.fid-36945e2d_19febabadac_6d66;52.61;11.39;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
1-160-16;Untere Milde von Wegebrücke;Untere Milde von Wegebrücke Kahrstedt/Karritz bis Mündung in die Milde;v_gewaesser.fid-36945e2d_19febabadac_69a1;52.7;11.48;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
1-160-18;Untere Milde von Straßenbrücke;Untere Milde von Straßenbrücke Wustrewe/Zethlingen bis Winkelstedt;v_gewaesser.fid-36945e2d_19febabadac_69a2;52.6866667;11.3266667;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
1-160-20;Königsgraben vom Abschlag;Königsgraben vom Abschlag Schenkenhorst bis Mündung in die Milde;v_gewaesser.fid-36945e2d_19febabadac_69a3;52.64;11.41;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
1-160-22;Secantsgraben von Str.-Br. Kalbe/M. –;Secantsgraben von Str.-Br. Kalbe/M. – Neuendorf a. D. bis Mündung in die Milde;v_gewaesser.fid-36945e2d_19febabadac_69a4;52.66;11.45;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
1-161-01;Teich am Anglerheim (Burggraben);Teich am Anglerheim (Burggraben) in Kalbe/Milde;v_gewaesser.fid-36945e2d_19febabadac_6d32;52.65;11.39;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
1-161-02;Milde von Kalbe (Straßenbrücke);Milde von Kalbe (Straßenbrücke) bis Eimündung des Secantsgraben;v_gewaesser.fid-36945e2d_19febabadac_6dda;52.6633334;11.4566667;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
1-161-03;Untere Milde von Winkelstedt;Untere Milde von Winkelstedt bis Brücke Kahrstedt-Karritz;v_gewaesser.fid-36945e2d_19febabadac_69a7;52.6733333;11.3533333;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
1-260-03;Wasserbecken am Schlammgraben;Wasserbecken am Schlammgraben bei Kusey;v_gewaesser.fid-36945e2d_19febabadac_6a1e;52.55;11.1;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
1-260-11;Jeetze von Dorfstraße im Amt;Jeetze von Dorfstraße im Amt Dambeck bis Landesgrenze;v_gewaesser.fid-36945e2d_19febabadac_6da3;52.8488889;11.1633333;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
